Paso	Presa	Depredador	Hueco
0	2045	500	7455
1	8261	1508	231
2	1104	8583	313
3	247	8041	1712
4	695	6669	2636
5	1968	6050	1982
6	1939	6837	1224
7	1201	7413	1386
8	1260	7130	1610
9	1470	6952	1578
10	1491	6969	1540
11	1451	7066	1483
12	1399	7096	1505
13	1407	7034	1559
14	1445	6986	1569
15	1477	7107	1416
16	1352	7162	1486
17	1395	7082	1523
18	1433	7024	1543
19	1448	7017	1535
20	1448	7110	1442
21	1368	7136	1496
22	1403	7046	1551
23	1451	7075	1474
24	1392	7092	1516
25	1425	7112	1463
26	1370	7081	1549
27	1452	7049	1499
28	1435	7105	1460
29	1376	7144	1480
30	1368	7076	1556
31	1455	7059	1486
32	1399	7141	1460
33	1377	7091	1532
34	1435	7099	1466
35	1387	7067	1546
36	1443	7051	1506
37	1422	7077	1501
38	1419	7132	1449
39	1373	7139	1488
40	1395	7035	1570
41	1477	7024	1499
42	1433	7070	1497
43	1416	7068	1516
44	1437	7085	1478
45	1407	7095	1498
46	1404	7080	1516
47	1421	7092	1487
48	1406	7103	1491
49	1399	7088	1513
50	1420	7043	1537
51	1437	7051	1512
52	1420	7065	1515
53	1432	7038	1530
54	1443	7074	1483
55	1392	7096	1512
56	1419	7079	1502
57	1403	7161	1436
58	1336	7142	1522
59	1426	7029	1545
60	1458	7051	1491
61	1411	7090	1499
62	1411	7097	1492
63	1386	7117	1497
64	1404	7130	1466
65	1374	7122	1504
66	1406	7097	1497
67	1390	7115	1495
68	1389	7099	1512
69	1429	7062	1509
70	1412	7086	1502
71	1418	7105	1477
72	1396	7105	1499
73	1390	7055	1555
74	1469	7042	1489
75	1415	7108	1477
76	1388	7054	1558
77	1452	7038	1510
78	1448	7108	1444
79	1371	7175	1454
80	1354	7115	1531
81	1421	7076	1503
82	1413	7105	1482
83	1389	7065	1546
84	1451	7061	1488
85	1414	7123	1463
86	1366	7086	1548
87	1446	7019	1535
88	1457	6995	1548
89	1443	7121	1436
90	1333	7129	1538
91	1430	7030	1540
92	1451	7019	1530
93	1434	7037	1529
94	1444	7119	1437
95	1351	7113	1536
96	1434	7002	1564
97	1481	7022	1497
98	1408	7139	1453
99	1366	7153	1481
100	1378	7078	1544
101	1441	7081	1478
102	1395	7097	1508
103	1422	7012	1566
104	1470	7073	1457
105	1385	7123	1492
106	1405	7073	1522
107	1442	7051	1507
108	1423	7096	1481
109	1380	7124	1496
110	1408	7036	1556
111	1453	7061	1486
112	1395	7068	1537
113	1459	7004	1537
114	1449	7036	1515
115	1442	7123	1435
116	1373	7159	1468
117	1387	7159	1454
118	1375	7100	1525
119	1424	7069	1507
120	1413	7094	1493
121	1394	7063	1543
122	1450	7050	1500
123	1425	7050	1525
124	1444	7056	1500
125	1408	7040	1552
126	1470	7084	1446
127	1368	7156	1476
128	1378	7085	1537
129	1432	7039	1529
130	1446	7063	1491
131	1406	7110	1484
132	1399	7085	1516
133	1410	7091	1499
134	1396	7001	1603
135	1511	6972	1517
136	1432	7097	1471
137	1391	7111	1498
138	1414	7083	1503
139	1418	7016	1566
140	1472	6986	1542
141	1456	7028	1516
142	1433	7095	1472
143	1394	7140	1466
144	1355	7120	1525
145	1423	7046	1531
146	1441	7055	1504
147	1427	7075	1498
148	1415	7063	1522
149	1436	7013	1551
150	1480	7102	1418
151	1343	7153	1504
152	1410	6988	1602
153	1510	7006	1484
154	1402	7098	1500
155	1405	7100	1495
156	1405	7032	1563
157	1465	7014	1521
158	1434	7073	1493
159	1420	7111	1469
160	1381	7116	1503
161	1404	7104	1492
162	1403	7057	1540
163	1452	7037	1511
164	1427	7043	1530
165	1446	7067	1487
166	1397	7137	1466
167	1367	7120	1513
168	1401	7054	1545
169	1460	7102	1438
170	1361	7201	1438
171	1338	7140	1522
172	1422	7068	1510
173	1425	7110	1465
174	1373	7169	1458
175	1362	7091	1547
176	1457	7074	1469
177	1387	7102	1511
178	1400	7037	1563
179	1469	7034	1497
180	1428	7041	1531
181	1439	7089	1472
182	1366	7116	1518
183	1418	7058	1524
184	1438	7049	1513
185	1422	7109	1469
186	1365	7078	1557
187	1471	7049	1480
188	1392	7109	1499
189	1401	7028	1571
190	1465	6981	1554
191	1457	7064	1479
192	1401	7121	1478
193	1381	7070	1549
194	1451	7045	1504
195	1409	7120	1471
196	1381	7073	1546
197	1453	7041	1506
198	1441	7109	1450
199	1377	7158	1465
200	1389	7134	1477
201	1384	7072	1544
202	1442	7108	1450
203	1367	7094	1539
204	1433	7011	1556
205	1467	7093	1440
206	1367	7070	1563
207	1474	7056	1470
208	1392	7128	1480
209	1399	7082	1519
210	1424	7108	1468
211	1379	7123	1498
212	1402	7032	1566
213	1479	7011	1510
214	1435	7178	1387
215	1310	7238	1452
216	1328	7074	1598
217	1483	6973	1544
218	1476	7102	1422
219	1358	7157	1485
220	1391	7089	1520
221	1431	7055	1514
222	1404	7017	1579
223	1473	7064	1463
224	1392	7125	1483
225	1395	7129	1476
226	1389	7068	1543
227	1438	7054	1508
228	1427	7070	1503
229	1420	7111	1469
230	1384	7128	1488
231	1396	7059	1545
232	1463	7027	1510
233	1432	7099	1469
234	1389	7121	1490
235	1389	7024	1587
236	1472	7005	1523
237	1446	7102	1452
238	1375	7169	1456
239	1364	7155	1481
240	1374	7149	1477
241	1373	7076	1551
242	1456	7024	1520
243	1424	7052	1524
244	1443	7037	1520
245	1449	7076	1475
246	1392	7133	1475
247	1375	7100	1525
248	1406	7054	1540
249	1445	7061	1494
250	1414	7082	1504
251	1413	7045	1542
252	1457	7063	1480
253	1388	7065	1547
254	1438	7030	1532
255	1435	7030	1535
256	1459	7090	1451
257	1364	7143	1493
258	1399	7020	1581
259	1474	6991	1535
260	1463	7137	1400
261	1315	7155	1530
262	1412	7035	1553
263	1470	7045	1485
264	1402	7085	1513
265	1418	7150	1432
266	1359	7122	1519
267	1417	7050	1533
268	1429	7041	1530
269	1425	7142	1433
270	1337	7146	1517
271	1425	7042	1533
272	1448	7086	1466
273	1386	7118	1496
274	1393	7171	1436
275	1357	7107	1536
276	1431	7041	1528
277	1442	6995	1563
278	1467	7013	1520
279	1423	7124	1453
280	1376	7113	1511
281	1410	7046	1544
282	1451	7066	1483
283	1393	7031	1576
284	1473	7030	1497
285	1416	7104	1480
286	1396	7077	1527
287	1424	7059	1517
288	1442	7068	1490
289	1408	7064	1528
290	1423	7059	1518
291	1427	7138	1435
292	1364	7152	1484
293	1373	7046	1581
294	1482	7074	1444
295	1368	7171	1461
296	1389	7078	1533
297	1439	7030	1531
298	1449	7022	1529
299	1438	7124	1438
300	1339	7220	1441
