Paso	Presa	Depredador	Hueco
0	4961	2033	3006
1	3006	5287	1707
2	1707	3810	4483
3	4483	2291	3226
4	3226	4814	1960
5	1960	3960	4080
6	4080	2536	3384
7	3384	4453	2163
8	2163	4061	3776
9	3776	2760	3464
10	3464	4200	2336
11	2336	4089	3575
12	3575	2936	3489
13	3489	4044	2467
14	2467	4081	3452
15	3452	3090	3458
16	3458	3920	2622
17	2622	4078	3300
18	3300	3230	3470
19	3470	3770	2760
20	2760	4083	3157
21	3157	3367	3476
22	3476	3688	2836
23	2836	4020	3144
24	3144	3458	3398
25	3398	3642	2960
26	2960	3954	3086
27	3086	3577	3337
28	3337	3625	3038
29	3038	3878	3084
30	3084	3643	3273
31	3273	3681	3046
32	3046	3853	3101
33	3101	3662	3237
34	3237	3657	3106
35	3106	3761	3133
36	3133	3668	3199
37	3199	3715	3086
38	3086	3751	3163
39	3163	3680	3157
40	3157	3753	3090
41	3090	3724	3186
42	3186	3651	3163
43	3163	3726	3111
44	3111	3690	3199
45	3199	3703	3098
46	3098	3748	3154
47	3154	3681	3165
48	3165	3707	3128
49	3128	3745	3127
50	3127	3692	3181
51	3181	3713	3106
52	3106	3751	3143
53	3143	3670	3187
54	3187	3676	3137
55	3137	3730	3133
56	3133	3664	3203
57	3203	3665	3132
58	3132	3793	3075
59	3075	3683	3242
60	3242	3628	3130
61	3130	3786	3084
62	3084	3692	3224
63	3224	3620	3156
64	3156	3766	3078
65	3078	3783	3139
66	3139	3645	3216
67	3216	3667	3117
68	3117	3777	3106
69	3106	3722	3172
70	3172	3658	3170
71	3170	3741	3089
72	3089	3749	3162
73	3162	3648	3190
74	3190	3714	3096
75	3096	3767	3137
76	3137	3639	3224
77	3224	3676	3100
78	3100	3746	3154
79	3154	3685	3161
80	3161	3712	3127
81	3127	3714	3159
82	3159	3664	3177
83	3177	3723	3100
84	3100	3733	3167
85	3167	3639	3194
86	3194	3707	3099
87	3099	3727	3174
88	3174	3645	3181
89	3181	3714	3105
90	3105	3744	3151
91	3151	3691	3158
92	3158	3703	3139
93	3139	3693	3168
94	3168	3700	3132
95	3132	3699	3169
96	3169	3671	3160
97	3160	3693	3147
98	3147	3710	3143
99	3143	3698	3159
100	3159	3709	3132
101	3132	3705	3163
102	3163	3703	3134
103	3134	3716	3150
104	3150	3667	3183
105	3183	3703	3114
106	3114	3721	3165
107	3165	3678	3157
108	3157	3726	3117
109	3117	3704	3179
110	3179	3671	3150
111	3150	3732	3118
112	3118	3713	3169
113	3169	3672	3159
114	3159	3700	3141
115	3141	3738	3121
116	3121	3706	3173
117	3173	3712	3115
118	3115	3771	3114
119	3114	3696	3190
120	3190	3670	3140
121	3140	3749	3111
122	3111	3716	3173
123	3173	3662	3165
124	3165	3723	3112
125	3112	3699	3189
126	3189	3662	3149
127	3149	3742	3109
128	3109	3715	3176
129	3176	3647	3177
130	3177	3733	3090
131	3090	3760	3150
132	3150	3645	3205
133	3205	3711	3084
134	3084	3783	3133
135	3133	3687	3180
136	3180	3686	3134
137	3134	3733	3133
138	3133	3666	3201
139	3201	3689	3110
140	3110	3757	3133
141	3133	3647	3220
142	3220	3694	3086
143	3086	3759	3155
144	3155	3643	3202
145	3202	3695	3103
146	3103	3752	3145
147	3145	3684	3171
148	3171	3720	3109
149	3109	3752	3139
150	3139	3713	3148
151	3148	3692	3160
152	3160	3706	3134
153	3134	3700	3166
154	3166	3718	3116
155	3116	3729	3155
156	3155	3652	3193
157	3193	3728	3079
158	3079	3759	3162
159	3162	3669	3169
160	3169	3704	3127
161	3127	3749	3124
162	3124	3741	3135
163	3135	3665	3200
164	3200	3716	3084
165	3084	3757	3159
166	3159	3656	3185
167	3185	3701	3114
168	3114	3730	3156
169	3156	3651	3193
170	3193	3705	3102
171	3102	3777	3121
172	3121	3677	3202
173	3202	3657	3141
174	3141	3723	3136
175	3136	3716	3148
176	3148	3680	3172
177	3172	3677	3151
178	3151	3765	3084
179	3084	3756	3160
180	3160	3689	3151
181	3151	3724	3125
182	3125	3700	3175
183	3175	3656	3169
184	3169	3692	3139
185	3139	3693	3168
186	3168	3676	3156
187	3156	3694	3150
188	3150	3672	3178
189	3178	3723	3099
190	3099	3722	3179
191	3179	3686	3135
192	3135	3732	3133
193	3133	3690	3177
194	3177	3732	3091
195	3091	3705	3204
196	3204	3601	3195
197	3195	3749	3056
198	3056	3768	3176
199	3176	3680	3144
