Paso	Presa	Depredador	Hueco
0	1999	2037	5964
1	2744	637	6619
2	4097	279	5624
3	5833	163	4004
4	7468	127	2405
5	8557	116	1327
6	9195	107	698
7	9475	114	411
8	9623	123	254
9	9653	143	204
10	9643	164	193
11	9594	190	216
12	9568	185	247
13	9545	195	260
14	9519	206	275
15	9509	222	269
16	9462	228	310
17	9436	263	301
18	9360	308	332
19	9262	345	393
20	9209	351	440
21	9140	377	483
22	9058	417	525
23	8986	444	570
24	8904	459	637
25	8825	487	688
26	8810	509	681
27	8753	525	722
28	8710	549	741
29	8718	531	751
30	8708	519	773
31	8706	502	792
32	8732	493	775
33	8766	496	738
34	8747	517	736
35	8721	507	772
36	8761	469	770
37	8794	474	732
38	8786	490	724
39	8788	477	735
40	8755	495	750
41	8720	542	738
42	8699	538	763
43	8657	542	801
44	8639	541	820
45	8659	523	818
46	8709	500	791
47	8725	502	773
48	8687	546	767
49	8637	536	827
50	8637	559	804
51	8639	551	810
52	8621	545	834
53	8632	546	822
54	8643	505	852
55	8656	521	823
56	8662	535	803
57	8665	511	824
58	8729	482	789
59	8746	515	739
60	8733	478	789
61	8773	484	743
62	8842	431	727
63	8894	429	677
64	8910	411	679
65	8963	421	616
66	8960	438	602
67	8892	475	633
68	8809	526	665
69	8708	556	736
70	8707	509	784
71	8719	502	779
72	8756	503	741
73	8766	523	711
74	8747	506	747
75	8717	526	757
76	8745	472	783
77	8799	462	739
78	8828	479	693
79	8861	417	722
80	8936	427	637
81	8935	428	637
82	8930	439	631
83	8889	449	662
84	8891	430	679
85	8923	448	629
86	8896	489	615
87	8813	508	679
88	8751	540	709
89	8699	526	775
90	8706	516	778
91	8739	502	759
92	8760	515	725
93	8730	533	737
94	8685	526	789
95	8666	555	779
96	8651	546	803
97	8669	543	788
98	8674	513	813
99	8741	490	769
100	8780	476	744
101	8826	442	732
102	8869	468	663
103	8799	510	691
104	8736	517	747
105	8718	527	755
106	8678	556	766
107	8620	578	802
108	8553	558	889
109	8602	516	882
110	8687	485	828
111	8713	506	781
112	8745	511	744
113	8751	499	750
114	8747	515	738
115	8667	543	790
116	8611	566	823
117	8596	569	835
118	8595	561	844
119	8621	567	812
120	8593	546	861
121	8582	578	840
122	8581	553	866
123	8609	535	856
124	8654	507	839
125	8719	494	787
126	8722	515	763
127	8712	516	772
128	8654	542	804
129	8645	553	802
130	8635	565	800
131	8632	534	834
132	8628	547	825
133	8676	511	813
134	8753	483	764
135	8748	497	755
136	8750	491	759
137	8751	516	733
138	8726	485	789
139	8801	459	740
140	8848	470	682
141	8828	495	677
142	8751	509	740
143	8738	502	760
144	8743	514	743
145	8727	509	764
146	8723	522	755
147	8687	555	758
148	8671	555	774
149	8675	549	776
