Paso	Presa	Depredador	Hueco
0	1992	1918	6090
1	3589	1055	5356
2	5919	984	3097
3	6995	1475	1530
4	6016	2428	1556
5	4468	3100	2432
6	3714	2849	3437
7	3935	2256	3809
8	4525	2113	3362
9	4907	2157	2936
10	4910	2349	2741
11	4614	2578	2808
12	4355	2557	3088
13	4299	2384	3317
14	4532	2318	3150
15	4563	2418	3019
16	4519	2451	3030
17	4479	2438	3083
18	4511	2373	3116
19	4561	2354	3085
20	4543	2429	3028
21	4458	2452	3090
22	4461	2397	3142
23	4531	2366	3103
24	4520	2430	3050
25	4465	2438	3097
26	4507	2385	3108
27	4568	2399	3033
28	4546	2419	3035
29	4446	2485	3069
30	4319	2478	3203
31	4395	2354	3251
32	4649	2271	3080
33	4753	2381	2866
34	4649	2510	2841
35	4410	2562	3028
36	4274	2495	3231
37	4372	2389	3239
38	4490	2412	3098
39	4480	2448	3072
40	4434	2437	3129
41	4420	2435	3145
42	4469	2392	3139
43	4494	2460	3046
44	4454	2441	3105
45	4470	2454	3076
46	4452	2422	3126
47	4462	2394	3144
48	4631	2311	3058
49	4738	2321	2941
50	4607	2468	2925
51	4446	2478	3076
52	4422	2468	3110
53	4448	2395	3157
54	4546	2421	3033
55	4585	2465	2950
56	4475	2485	3040
57	4460	2440	3100
58	4556	2350	3094
59	4596	2411	2993
60	4562	2391	3047
61	4533	2425	3042
62	4507	2416	3077
63	4553	2386	3061
64	4607	2397	2996
65	4507	2491	3002
66	4456	2522	3022
67	4420	2413	3167
68	4473	2342	3185
69	4531	2324	3145
70	4710	2258	3032
71	4763	2344	2893
72	4628	2439	2933
73	4478	2478	3044
74	4474	2419	3107
75	4533	2382	3085
76	4447	2446	3107
77	4453	2406	3141
78	4493	2372	3135
79	4587	2349	3064
80	4608	2399	2993
81	4547	2448	3005
82	4469	2440	3091
83	4480	2459	3061
84	4446	2436	3118
85	4387	2429	3184
86	4501	2356	3143
87	4561	2375	3064
88	4488	2472	3040
89	4364	2454	3182
90	4382	2431	3187
91	4517	2363	3120
92	4671	2380	2949
93	4580	2426	2994
94	4492	2504	3004
95	4361	2546	3093
96	4328	2414	3258
97	4425	2346	3229
98	4528	2372	3100
99	4533	2404	3063
100	4573	2345	3082
101	4603	2370	3027
102	4647	2376	2977
103	4599	2431	2970
104	4457	2524	3019
105	4330	2454	3216
106	4412	2349	3239
107	4537	2333	3130
108	4651	2330	3019
109	4578	2397	3025
110	4551	2479	2970
111	4291	2569	3140
112	4289	2433	3278
113	4312	2402	3286
114	4494	2303	3203
115	4683	2325	2992
116	4669	2380	2951
117	4533	2477	2990
118	4469	2443	3088
119	4516	2416	3068
120	4501	2398	3101
121	4599	2372	3029
122	4554	2447	2999
123	4478	2468	3054
124	4373	2519	3108
125	4397	2426	3177
126	4464	2399	3137
127	4529	2350	3121
128	4528	2414	3058
129	4467	2447	3086
130	4493	2410	3097
131	4543	2368	3089
132	4597	2375	3028
133	4583	2408	3009
134	4527	2446	3027
135	4500	2477	3023
136	4415	2468	3117
137	4368	2408	3224
138	4543	2279	3178
139	4788	2281	2931
140	4744	2484	2772
141	4462	2559	2979
142	4304	2494	3202
143	4405	2346	3249
144	4582	2316	3102
145	4669	2388	2943
146	4573	2444	2983
147	4456	2510	3034
148	4436	2465	3099
149	4497	2409	3094
150	4452	2498	3050
151	4380	2462	3158
152	4460	2368	3172
153	4539	2398	3063
154	4573	2396	3031
155	4584	2406	3010
156	4551	2429	3020
157	4516	2447	3037
158	4467	2429	3104
159	4493	2407	3100
160	4534	2420	3046
161	4519	2394	3087
162	4492	2467	3041
163	4484	2440	3076
164	4482	2413	3105
165	4546	2404	3050
166	4589	2363	3048
167	4595	2455	2950
168	4568	2408	3024
169	4537	2446	3017
170	4500	2423	3077
171	4517	2451	3032
172	4427	2454	3119
173	4443	2407	3150
174	4549	2335	3116
175	4602	2402	2996
176	4544	2448	3008
177	4569	2406	3025
178	4521	2407	3072
179	4513	2434	3053
180	4529	2410	3061
181	4559	2415	3026
182	4542	2473	2985
183	4429	2476	3095
184	4415	2408	3177
185	4530	2364	3106
186	4593	2352	3055
187	4597	2425	2978
188	4463	2480	3057
189	4437	2433	3130
190	4457	2429	3114
191	4463	2419	3118
192	4465	2445	3090
193	4487	2452	3061
194	4452	2433	3115
195	4481	2373	3146
196	4536	2379	3085
197	4580	2398	3022
198	4570	2453	2977
199	4455	2445	3100
200	4458	2404	3138
201	4544	2348	3108
202	4606	2427	2967
203	4498	2501	3001
204	4413	2493	3094
205	4401	2453	3146
206	4395	2434	3171
207	4492	2386	3122
208	4531	2410	3059
209	4582	2433	2985
210	4474	2492	3034
211	4387	2474	3139
212	4422	2411	3167
213	4503	2359	3138
214	4671	2343	2986
215	4657	2449	2894
216	4467	2536	2997
217	4393	2437	3170
218	4499	2361	3140
219	4635	2370	2995
220	4616	2415	2969
221	4521	2423	3056
222	4533	2387	3080
223	4601	2331	3068
224	4636	2381	2983
225	4588	2468	2944
226	4447	2481	3072
227	4476	2410	3114
228	4448	2415	3137
229	4524	2396	3080
230	4521	2416	3063
231	4462	2448	3090
232	4525	2356	3119
233	4611	2319	3070
234	4606	2442	2952
235	4545	2467	2988
236	4437	2495	3068
237	4400	2431	3169
238	4560	2322	3118
239	4626	2369	3005
240	4606	2400	2994
241	4596	2431	2973
242	4500	2462	3038
243	4492	2440	3068
244	4541	2371	3088
245	4654	2363	2983
246	4585	2428	2987
247	4544	2378	3078
248	4563	2383	3054
249	4532	2415	3053
