Paso	Presa	Depredador	Hueco
0	5035	1973	2992
1	2992	5328	1680
2	1680	3816	4504
3	4504	2243	3253
4	3253	4816	1931
5	1931	4007	4062
6	4062	2505	3433
7	3433	4424	2143
8	2143	4076	3781
9	3781	2763	3456
10	3456	4214	2330
11	2330	4057	3613
12	3613	2938	3449
13	3449	4071	2480
14	2480	4063	3457
15	3457	3090	3453
16	3453	3924	2623
17	2623	4005	3372
18	3372	3176	3452
19	3452	3852	2696
20	2696	4044	3260
21	3260	3325	3415
22	3415	3738	2847
23	2847	4000	3153
24	3153	3400	3447
25	3447	3670	2883
26	2883	3993	3124
27	3124	3497	3379
28	3379	3660	2961
29	2961	3909	3130
30	3130	3579	3291
31	3291	3688	3021
32	3021	3811	3168
33	3168	3616	3216
34	3216	3710	3074
35	3074	3764	3162
36	3162	3675	3163
37	3163	3685	3152
38	3152	3695	3153
39	3153	3688	3159
40	3159	3769	3072
41	3072	3741	3187
42	3187	3644	3169
43	3169	3740	3091
44	3091	3710	3199
45	3199	3626	3175
46	3175	3748	3077
47	3077	3720	3203
48	3203	3675	3122
49	3122	3735	3143
