Paso	Presa	Depredador	Hueco
0	997	4036	4967
1	1889	4010	4101
2	2646	4568	2786
3	2394	5633	1973
4	1595	6474	1931
5	1115	6493	2392
6	930	6179	2891
7	951	5698	3351
8	1190	5305	3505
9	1474	5168	3358
10	1720	5298	2982
11	1756	5571	2673
12	1581	5929	2490
13	1403	6062	2535
14	1280	6051	2669
15	1232	5883	2885
16	1219	5709	3072
17	1327	5579	3094
18	1368	5564	3068
19	1467	5603	2930
20	1476	5701	2823
21	1421	5721	2858
22	1370	5761	2869
23	1402	5743	2855
24	1350	5723	2927
25	1378	5695	2927
26	1437	5660	2903
27	1408	5731	2861
28	1373	5728	2899
29	1363	5722	2915
30	1375	5686	2939
31	1388	5684	2928
32	1483	5633	2884
33	1495	5688	2817
34	1410	5776	2814
35	1366	5805	2829
36	1309	5766	2925
37	1353	5684	2963
38	1350	5670	2980
39	1389	5659	2952
40	1435	5624	2941
41	1469	5651	2880
42	1405	5748	2847
43	1396	5756	2848
44	1402	5715	2883
45	1411	5765	2824
46	1374	5790	2836
47	1300	5745	2955
48	1317	5735	2948
49	1378	5719	2903
50	1416	5724	2860
51	1375	5793	2832
52	1354	5774	2872
53	1307	5763	2930
54	1371	5675	2954
55	1440	5655	2905
56	1507	5699	2794
57	1421	5845	2734
58	1357	5832	2811
59	1267	5827	2906
60	1280	5752	2968
61	1337	5682	2981
62	1365	5666	2969
63	1394	5616	2990
64	1423	5668	2909
65	1427	5725	2848
66	1393	5767	2840
67	1330	5780	2890
68	1352	5703	2945
69	1369	5702	2929
70	1406	5700	2894
71	1431	5703	2866
72	1377	5739	2884
73	1375	5747	2878
74	1380	5749	2871
75	1355	5736	2909
76	1380	5717	2903
77	1375	5718	2907
78	1379	5746	2875
79	1357	5806	2837
80	1347	5799	2854
81	1328	5758	2914
82	1336	5706	2958
83	1430	5658	2912
84	1445	5711	2844
85	1464	5727	2809
86	1407	5845	2748
87	1342	5835	2823
88	1327	5807	2866
89	1362	5716	2922
90	1400	5620	2980
91	1437	5662	2901
92	1408	5713	2879
93	1396	5792	2812
94	1300	5804	2896
95	1335	5701	2964
96	1352	5657	2991
97	1442	5611	2947
98	1486	5684	2830
99	1446	5795	2759
100	1352	5835	2813
101	1313	5816	2871
102	1370	5731	2899
103	1322	5767	2911
104	1359	5735	2906
105	1343	5677	2980
106	1454	5604	2942
107	1460	5655	2885
108	1466	5643	2891
109	1450	5709	2841
110	1431	5723	2846
111	1397	5741	2862
112	1351	5747	2902
113	1313	5734	2953
114	1325	5666	3009
115	1392	5599	3009
116	1440	5591	2969
117	1438	5672	2890
118	1506	5784	2710
119	1447	5813	2740
120	1416	5816	2768
121	1289	5797	2914
122	1284	5728	2988
123	1312	5713	2975
124	1333	5668	2999
125	1416	5639	2945
126	1406	5643	2951
127	1411	5729	2860
128	1361	5782	2857
129	1338	5764	2898
130	1343	5739	2918
131	1410	5695	2895
132	1441	5695	2864
133	1403	5740	2857
134	1398	5763	2839
135	1382	5792	2826
136	1321	5788	2891
137	1351	5661	2988
138	1395	5618	2987
139	1453	5657	2890
140	1388	5730	2882
141	1373	5706	2921
142	1365	5642	2993
143	1411	5662	2927
144	1459	5679	2862
145	1364	5728	2908
146	1333	5778	2889
147	1316	5748	2936
148	1334	5691	2975
149	1394	5577	3029
150	1455	5551	2994
151	1446	5598	2956
152	1465	5663	2872
153	1464	5677	2859
154	1415	5762	2823
155	1371	5801	2828
156	1335	5780	2885
157	1379	5744	2877
158	1328	5733	2939
159	1339	5715	2946
160	1399	5630	2971
161	1383	5707	2910
162	1412	5735	2853
163	1395	5740	2865
164	1381	5748	2871
165	1364	5766	2870
166	1354	5730	2916
167	1427	5711	2862
168	1372	5704	2924
169	1405	5722	2873
170	1358	5761	2881
171	1363	5750	2887
172	1338	5746	2916
173	1364	5685	2951
174	1417	5652	2931
175	1418	5663	2919
176	1415	5693	2892
177	1441	5720	2839
178	1363	5773	2864
179	1364	5696	2940
180	1388	5700	2912
181	1438	5751	2811
182	1386	5813	2801
183	1390	5789	2821
184	1356	5832	2812
185	1323	5789	2888
186	1336	5728	2936
187	1354	5710	2936
188	1370	5694	2936
189	1386	5673	2941
190	1472	5695	2833
191	1462	5653	2885
192	1419	5683	2898
193	1417	5718	2865
194	1397	5784	2819
195	1307	5768	2925
196	1332	5801	2867
197	1296	5776	2928
198	1279	5682	3039
199	1331	5638	3031
200	1353	5584	3063
201	1461	5569	2970
202	1530	5565	2905
203	1530	5665	2805
204	1445	5758	2797
205	1366	5816	2818
