Paso	Presa	Depredador	Hueco
0	509	299	192
1	192	746	62
2	62	772	166
3	157	680	163
4	163	719	118
5	118	752	130
6	129	728	143
7	142	706	152
8	151	693	156
9	154	710	136
10	136	730	134
11	134	720	146
12	144	715	141
13	141	702	157
14	156	701	143
15	143	724	133
16	132	709	159
17	159	727	114
18	114	746	140
19	139	710	151
20	150	740	110
21	110	754	136
22	135	732	133
23	133	727	140
24	140	737	123
25	122	730	148
26	147	693	160
27	160	700	140
28	140	711	149
29	149	703	148
30	147	725	128
31	128	727	145
32	144	692	164
33	164	708	128
34	128	738	134
35	133	725	142
36	141	723	136
37	135	720	145
38	141	727	132
39	131	702	167
40	167	691	142
41	142	731	127
42	127	733	140
43	139	717	144
44	144	717	139
45	137	730	133
46	133	724	143
47	143	735	122
48	122	721	157
49	155	689	156
50	155	706	139
51	139	729	132
52	132	701	167
53	167	712	121
54	121	740	139
55	137	696	167
56	167	715	118
57	118	732	150
58	150	704	146
59	146	695	159
60	158	715	127
61	127	719	154
62	153	683	164
63	163	696	141
64	140	708	152
65	150	706	144
66	144	709	147
67	147	726	127
68	127	734	139
69	139	716	145
70	144	727	129
71	127	727	146
72	146	708	146
73	146	728	126
74	126	736	138
75	138	717	145
76	145	700	155
77	155	704	141
78	141	715	144
79	144	702	154
80	153	702	145
81	145	735	120
82	120	737	143
83	141	714	145
84	145	719	136
85	136	729	135
86	135	714	151
87	151	709	140
88	140	717	143
89	142	703	155
90	155	703	142
91	142	713	145
92	144	719	137
93	137	717	146
94	145	709	146
95	146	698	156
96	156	692	152
97	152	703	145
98	145	714	141
99	140	731	129
100	129	717	154
101	154	700	146
102	145	717	138
103	138	700	162
104	162	703	135
105	135	709	156
106	156	687	157
107	157	686	157
108	157	718	125
109	125	712	163
110	162	696	142
111	142	701	157
112	157	710	133
113	133	729	138
114	138	731	131
115	130	719	151
116	151	712	137
117	137	714	149
118	149	705	146
119	145	722	133
120	133	722	145
121	145	727	128
122	128	719	153
123	153	727	120
124	120	724	156
125	154	698	148
126	147	715	138
127	137	713	150
128	150	693	157
129	157	694	149
130	149	720	131
131	131	722	147
132	147	703	150
133	150	715	135
134	135	731	134
135	134	727	139
136	138	725	137
137	136	721	143
138	143	719	138
139	138	704	158
140	157	710	133
141	133	724	143
142	143	712	145
143	145	713	142
144	142	722	136
145	135	708	157
146	157	703	140
147	140	722	138
148	138	708	154
149	154	719	127
150	127	743	130
151	129	728	143
152	142	699	159
153	159	693	148
154	148	704	148
155	148	678	174
156	174	703	123
157	123	734	143
158	140	719	141
159	141	701	158
160	158	717	125
161	125	747	128
162	127	723	150
163	150	707	143
164	143	726	131
165	130	729	141
166	140	717	143
167	142	713	145
168	145	715	140
169	138	721	141
170	139	717	144
171	143	708	149
172	148	726	126
173	126	738	136
174	136	745	119
175	119	726	155
176	153	698	149
177	149	692	159
178	159	696	145
179	145	725	130
180	130	716	154
181	152	729	119
182	119	730	151
183	148	700	152
184	152	719	129
185	129	722	149
186	149	708	143
187	142	702	156
188	156	719	125
189	125	723	152
190	152	693	155
191	155	707	138
192	138	715	147
193	146	737	117
194	117	718	165
195	163	691	146
196	146	712	142
197	141	732	127
198	127	726	147
199	146	711	143
200	143	723	134
201	134	723	143
202	143	682	175
203	175	675	150
204	150	697	153
205	152	696	152
206	152	690	158
207	156	703	141
208	140	727	133
209	133	725	142
210	142	705	153
211	152	694	154
212	154	692	154
213	153	714	133
214	132	737	131
215	131	718	151
216	151	693	156
217	156	699	145
218	145	718	137
219	137	706	157
220	157	696	147
221	147	702	151
222	151	692	157
223	157	695	148
224	148	720	132
225	131	707	162
226	162	683	155
227	155	706	139
228	139	725	136
229	136	728	136
230	136	716	148
231	148	715	137
232	136	718	146
233	146	698	156
234	156	709	135
235	135	735	130
236	128	720	152
237	152	709	139
238	139	727	134
239	133	725	142
240	141	713	146
241	144	713	143
242	143	716	141
243	141	705	154
244	154	715	131
245	131	726	143
246	142	697	161
247	160	684	156
248	155	715	130
249	130	719	151
250	151	698	151
251	151	711	138
252	138	708	154
253	154	686	160
254	160	682	158
255	158	687	155
256	154	706	140
257	140	719	141
258	141	717	142
259	142	718	140
260	140	707	153
261	152	701	147
262	147	726	127
263	127	703	170
264	168	683	149
265	149	707	144
266	144	717	139
267	139	711	150
268	150	707	143
269	143	702	155
270	155	701	144
271	142	703	155
272	154	707	139
273	137	736	127
274	127	733	140
275	138	712	150
276	150	710	140
277	140	726	134
278	134	728	138
279	136	731	133
280	133	724	143
281	142	710	148
282	147	719	134
283	134	719	147
284	147	720	133
285	132	722	146
286	146	716	138
287	137	724	139
288	137	698	165
289	164	674	162
290	162	717	121
291	121	712	167
292	167	687	146
293	146	713	141
294	141	688	171
295	170	687	143
296	143	716	141
297	141	724	135
298	135	715	150
299	149	721	130
300	130	711	159
