Paso	Presa	Depredador	Hueco
0	4955	1989	3056
1	3056	5730	1214
2	1214	5254	3532
3	3532	3280	3188
4	3188	4851	1961
5	1961	5129	2910
6	2910	3994	3096
7	3096	4515	2389
8	2389	4837	2774
9	2774	4398	2828
10	2828	4538	2634
11	2634	4650	2716
12	2716	4502	2782
13	2782	4570	2648
14	2648	4623	2729
15	2729	4478	2793
16	2793	4545	2662
17	2662	4628	2710
18	2710	4546	2744
19	2744	4563	2693
20	2693	4576	2731
21	2731	4493	2776
22	2776	4504	2720
23	2720	4552	2728
24	2728	4529	2743
25	2743	4537	2720
26	2720	4549	2731
27	2731	4543	2726
28	2726	4585	2689
29	2689	4594	2717
30	2717	4539	2744
31	2744	4438	2818
32	2818	4543	2639
33	2639	4606	2755
34	2755	4500	2745
35	2745	4590	2665
36	2665	4595	2740
37	2740	4518	2742
38	2742	4541	2717
39	2717	4526	2757
40	2757	4545	2698
41	2698	4580	2722
42	2722	4540	2738
43	2738	4520	2742
44	2742	4543	2715
45	2715	4541	2744
46	2744	4531	2725
47	2725	4515	2760
48	2760	4590	2650
49	2650	4619	2731
