Paso	Presa	Depredador	Hueco
0	1007	4004	4989
1	4324	4221	1455
2	1460	7666	874
3	823	7588	1589
4	1296	6879	1825
5	1671	6844	1485
6	1429	7142	1429
7	1357	7198	1445
8	1352	7101	1547
9	1461	7075	1464
10	1370	7150	1480
11	1381	7137	1482
12	1398	7082	1520
13	1426	7080	1494
14	1385	7105	1510
15	1400	7060	1540
16	1456	7006	1538
17	1460	7015	1525
18	1441	7023	1536
19	1447	7082	1471
20	1386	7129	1485
21	1380	6980	1640
22	1524	6991	1485
23	1416	7090	1494
24	1401	7117	1482
25	1380	7098	1522
26	1428	7041	1531
27	1436	6984	1580
28	1488	7034	1478
29	1393	7159	1448
30	1346	7192	1462
31	1356	7104	1540
32	1434	6992	1574
33	1478	7083	1439
34	1359	7136	1505
35	1419	7051	1530
36	1455	7026	1519
37	1438	7120	1442
38	1362	7148	1490
39	1390	7067	1543
40	1440	7056	1504
41	1416	7014	1570
42	1481	7005	1514
43	1437	7123	1440
44	1349	7146	1505
45	1413	7105	1482
46	1373	7116	1511
47	1420	7051	1529
48	1429	7027	1544
49	1450	7059	1491
50	1414	7109	1477
51	1381	7087	1532
52	1446	7077	1477
53	1385	7083	1532
54	1443	6967	1590
55	1499	7021	1480
56	1421	7165	1414
57	1330	7112	1558
58	1446	7021	1533
59	1445	7112	1443
60	1349	7124	1527
61	1405	7034	1561
62	1450	7032	1518
63	1448	7039	1513
64	1434	7071	1495
65	1413	7117	1470
66	1377	7064	1559
67	1465	6943	1592
68	1504	6960	1536
69	1461	7033	1506
70	1434	7110	1456
71	1360	7093	1547
72	1450	7031	1519
73	1448	7100	1452
74	1385	7115	1500
75	1398	7093	1509
76	1428	7047	1525
77	1439	7042	1519
78	1433	7036	1531
79	1441	7081	1478
80	1389	7116	1495
81	1411	7120	1469
82	1372	7140	1488
83	1387	7053	1560
84	1470	7070	1460
85	1376	7131	1493
86	1409	7096	1495
87	1396	7068	1536
88	1443	7044	1513
89	1444	7076	1480
90	1389	7100	1511
91	1416	7046	1538
92	1453	7010	1537
93	1450	7055	1495
94	1420	7087	1493
95	1431	7071	1498
96	1405	7141	1454
97	1365	7122	1513
98	1411	7022	1567
99	1474	6986	1540
100	1472	7102	1426
101	1335	7095	1570
102	1453	7039	1508
103	1409	7056	1535
104	1439	7067	1494
105	1412	7080	1508
106	1402	7054	1544
107	1452	7012	1536
108	1457	7035	1508
109	1416	7016	1568
110	1465	7013	1522
111	1434	7129	1437
112	1352	7160	1488
113	1387	7104	1509
114	1406	7081	1513
115	1425	7125	1450
116	1358	7124	1518
117	1407	7051	1542
118	1463	7086	1451
119	1375	7105	1520
120	1420	7061	1519
121	1427	7048	1525
122	1413	7055	1532
123	1455	7052	1493
124	1411	7110	1479
125	1391	7086	1523
126	1430	7042	1528
127	1422	7069	1509
128	1407	7042	1551
129	1450	7089	1461
130	1380	7101	1519
131	1431	7034	1535
132	1451	7095	1454
133	1371	7145	1484
134	1392	7064	1544
135	1466	7056	1478
136	1408	7108	1484
137	1396	7066	1538
138	1448	7055	1497
139	1415	7123	1462
140	1364	7142	1494
141	1391	7004	1605
142	1531	7021	1448
143	1391	7155	1454
144	1365	7129	1506
145	1403	7087	1510
146	1394	7052	1554
147	1466	7026	1508
148	1438	7124	1438
149	1370	7118	1512
150	1424	7119	1457
151	1377	7101	1522
152	1424	7080	1496
153	1419	7170	1411
154	1332	7174	1494
155	1396	7082	1522
156	1408	7137	1455
157	1357	7087	1556
158	1451	7004	1545
159	1448	7072	1480
160	1398	7090	1512
161	1418	7173	1409
162	1318	7135	1547
163	1431	7013	1556
164	1458	7035	1507
165	1425	7114	1461
166	1369	7125	1506
167	1413	7055	1532
168	1429	7028	1543
169	1451	7049	1500
170	1426	7131	1443
171	1364	7086	1550
172	1436	6978	1586
173	1493	7014	1493
174	1429	7060	1511
175	1428	7066	1506
176	1405	7017	1578
177	1498	6992	1510
178	1443	7127	1430
179	1348	7203	1449
180	1337	7107	1556
181	1448	7009	1543
182	1452	7078	1470
183	1378	7105	1517
184	1419	7045	1536
185	1437	7034	1529
186	1432	7054	1514
187	1419	7106	1475
188	1392	7139	1469
189	1388	7119	1493
190	1396	7092	1512
191	1437	7095	1468
192	1395	7153	1452
193	1338	7132	1530
194	1420	6980	1600
195	1524	7013	1463
196	1397	7124	1479
197	1375	7059	1566
198	1479	7066	1455
199	1377	7108	1515
200	1435	7025	1540
201	1453	7056	1491
202	1397	7138	1465
203	1380	7154	1466
204	1377	7114	1509
205	1412	7111	1477
206	1386	7088	1526
207	1423	7063	1514
208	1442	7041	1517
209	1427	7076	1497
210	1408	7122	1470
211	1386	7170	1444
212	1359	7128	1513
213	1410	7059	1531
214	1437	7062	1501
215	1428	7093	1479
216	1390	7093	1517
217	1413	7101	1486
218	1384	7032	1584
219	1483	6989	1528
220	1438	7084	1478
221	1394	7130	1476
222	1388	7088	1524
223	1420	7062	1518
224	1422	7056	1522
225	1429	7081	1490
226	1395	7107	1498
227	1398	7085	1517
228	1431	7079	1490
229	1405	7067	1528
230	1434	7024	1542
231	1444	7082	1474
232	1391	7095	1514
233	1416	7096	1488
234	1403	7134	1463
235	1370	7096	1534
236	1431	7014	1555
237	1467	7002	1531
238	1442	7049	1509
239	1429	7079	1492
240	1402	7071	1527
241	1432	7046	1522
242	1438	7055	1507
243	1423	7078	1499
244	1410	7069	1521
245	1428	7099	1473
246	1391	7099	1510
247	1404	7059	1537
248	1438	7040	1522
249	1443	7081	1476
250	1392	7072	1536
251	1423	7037	1540
252	1432	7065	1503
253	1416	7105	1479
254	1388	7035	1577
255	1466	6995	1539
256	1461	7033	1506
257	1421	7173	1406
258	1305	7166	1529
259	1419	7007	1574
260	1499	7041	1460
261	1393	7085	1522
262	1424	7080	1496
263	1404	7099	1497
264	1408	7113	1479
265	1375	7078	1547
266	1459	7054	1487
267	1414	7069	1517
268	1436	7078	1486
269	1379	7048	1573
270	1476	7044	1480
271	1410	7100	1490
272	1400	7114	1486
273	1400	7129	1471
274	1374	7089	1537
275	1443	7088	1469
276	1389	7138	1473
277	1368	7111	1521
278	1426	7092	1482
279	1401	7056	1543
280	1472	6993	1535
