Paso	Presa	Depredador	Hueco
0	4940	3016	2044
1	2044	7316	640
2	640	7924	1436
3	1436	6956	1608
4	1608	6986	1406
5	1406	7192	1402
6	1402	7167	1431
7	1431	7152	1417
8	1417	7147	1436
9	1436	7195	1369
10	1369	7124	1507
11	1507	7097	1396
12	1396	7136	1468
13	1468	7151	1381
14	1381	7132	1487
15	1487	7065	1448
16	1448	7065	1487
17	1487	7165	1348
18	1348	7258	1394
19	1394	7236	1370
20	1370	7176	1454
21	1454	7146	1400
22	1400	7183	1417
23	1417	7182	1401
24	1401	7170	1429
25	1429	7168	1403
26	1403	7176	1421
27	1421	7094	1485
28	1485	7122	1393
29	1393	7201	1406
30	1406	7108	1486
31	1486	7167	1347
32	1347	7283	1370
33	1370	7189	1441
34	1441	7092	1467
35	1467	7068	1465
36	1465	7069	1466
37	1466	7131	1403
38	1403	7169	1428
39	1428	7125	1447
40	1447	7084	1469
41	1469	7140	1391
42	1391	7212	1397
43	1397	7189	1414
44	1414	7099	1487
45	1487	7109	1404
46	1404	7151	1445
47	1445	7156	1399
48	1399	7189	1412
49	1412	7146	1442
50	1442	7114	1444
51	1444	7061	1495
52	1495	7042	1463
53	1463	7099	1438
54	1438	7145	1417
55	1417	7128	1455
56	1455	7124	1421
57	1421	7147	1432
58	1432	7102	1466
59	1466	7135	1399
60	1399	7167	1434
61	1434	7174	1392
62	1392	7183	1425
63	1425	7181	1394
64	1394	7200	1406
65	1406	7163	1431
66	1431	7137	1432
67	1432	7145	1423
68	1423	7257	1320
69	1320	7228	1452
70	1452	7085	1463
71	1463	7137	1400
72	1400	7167	1433
73	1433	7128	1439
74	1439	7170	1391
75	1391	7131	1478
76	1478	7086	1436
77	1436	7194	1370
78	1370	7131	1499
79	1499	7095	1406
80	1406	7177	1417
81	1417	7217	1366
82	1366	7172	1462
83	1462	7074	1464
84	1464	7134	1402
85	1402	7107	1491
86	1491	7112	1397
87	1397	7181	1422
88	1422	7107	1471
89	1471	7103	1426
90	1426	7148	1426
91	1426	7108	1466
92	1466	7088	1446
93	1446	7171	1383
94	1383	7204	1413
95	1413	7148	1439
96	1439	7187	1374
97	1374	7211	1415
98	1415	7170	1415
99	1415	7194	1391
100	1391	7202	1407
101	1407	7203	1390
102	1390	7167	1443
103	1443	7120	1437
104	1437	7215	1348
105	1348	7205	1447
106	1447	7086	1467
107	1467	7095	1438
108	1438	7147	1415
109	1415	7190	1395
110	1395	7145	1460
111	1460	7075	1465
112	1465	7128	1407
113	1407	7144	1449
114	1449	7156	1395
115	1395	7152	1453
116	1453	7135	1412
117	1412	7174	1414
118	1414	7226	1360
119	1360	7141	1499
120	1499	7072	1429
121	1429	7178	1393
122	1393	7148	1459
123	1459	7097	1444
124	1444	7166	1390
125	1390	7094	1516
126	1516	7011	1473
127	1473	7161	1366
128	1366	7302	1332
129	1332	7232	1436
130	1436	7090	1474
131	1474	7164	1362
132	1362	7170	1468
133	1468	7081	1451
134	1451	7099	1450
135	1450	7067	1483
136	1483	7101	1416
137	1416	7102	1482
138	1482	7151	1367
139	1367	7223	1410
140	1410	7148	1442
141	1442	7103	1455
142	1455	7071	1474
143	1474	7067	1459
144	1459	7116	1425
145	1425	7158	1417
146	1417	7164	1419
147	1419	7128	1453
148	1453	7153	1394
149	1394	7214	1392
150	1392	7143	1465
151	1465	7136	1399
152	1399	7164	1437
153	1437	7124	1439
154	1439	7128	1433
155	1433	7122	1445
156	1445	7113	1442
157	1442	7092	1466
158	1466	7093	1441
159	1441	7132	1427
160	1427	7173	1400
161	1400	7136	1464
162	1464	7102	1434
163	1434	7152	1414
164	1414	7152	1434
165	1434	7124	1442
166	1442	7112	1446
167	1446	7140	1414
168	1414	7156	1430
169	1430	7077	1493
170	1493	7086	1421
171	1421	7189	1390
172	1390	7204	1406
173	1406	7154	1440
174	1440	7139	1421
175	1421	7084	1495
176	1495	7092	1413
177	1413	7144	1443
178	1443	7109	1448
179	1448	7152	1400
180	1400	7181	1419
181	1419	7180	1401
182	1401	7171	1428
183	1428	7151	1421
184	1421	7157	1422
185	1422	7136	1442
186	1442	7145	1413
187	1413	7162	1425
188	1425	7118	1457
189	1457	7065	1478
190	1478	7161	1361
191	1361	7260	1379
192	1379	7185	1436
193	1436	7177	1387
194	1387	7162	1451
195	1451	7112	1437
196	1437	7191	1372
197	1372	7156	1472
198	1472	7088	1440
199	1440	7137	1423
200	1423	7105	1472
201	1472	7113	1415
202	1415	7178	1407
203	1407	7216	1377
204	1377	7179	1444
205	1444	7165	1391
206	1391	7173	1436
207	1436	7040	1524
208	1524	7113	1363
209	1363	7190	1447
210	1447	7141	1412
211	1412	7170	1418
212	1418	7086	1496
213	1496	7094	1410
214	1410	7180	1410
215	1410	7141	1449
216	1449	7143	1408
217	1408	7207	1385
218	1385	7209	1406
219	1406	7174	1420
220	1420	7161	1419
221	1419	7138	1443
222	1443	7123	1434
223	1434	7166	1400
224	1400	7264	1336
225	1336	7192	1472
226	1472	7132	1396
227	1396	7194	1410
228	1410	7160	1430
229	1430	7151	1419
230	1419	7185	1396
231	1396	7144	1460
232	1460	7073	1467
233	1467	7108	1425
234	1425	7153	1422
235	1422	7115	1463
236	1463	7130	1407
237	1407	7177	1416
238	1416	7180	1404
239	1404	7200	1396
240	1396	7184	1420
241	1420	7136	1444
242	1444	7091	1465
243	1465	7099	1436
244	1436	7138	1426
245	1426	7185	1389
246	1389	7133	1478
247	1478	7147	1375
248	1375	7241	1384
249	1384	7202	1414
250	1414	7113	1473
251	1473	7135	1392
252	1392	7177	1431
253	1431	7175	1394
254	1394	7138	1468
255	1468	7101	1431
256	1431	7130	1439
257	1439	7128	1433
258	1433	7141	1426
259	1426	7095	1479
260	1479	7133	1388
261	1388	7149	1463
262	1463	7061	1476
263	1476	7102	1422
264	1422	7166	1412
265	1412	7204	1384
266	1384	7228	1388
267	1388	7197	1415
268	1415	7103	1482
269	1482	7137	1381
270	1381	7237	1382
271	1382	7174	1444
272	1444	7153	1403
273	1403	7052	1545
274	1545	7072	1383
275	1383	7211	1406
276	1406	7139	1455
277	1455	7111	1434
278	1434	7107	1459
279	1459	7126	1415
280	1415	7178	1407
281	1407	7195	1398
282	1398	7166	1436
283	1436	7141	1423
284	1423	7132	1445
285	1445	7184	1371
286	1371	7190	1439
287	1439	7157	1404
288	1404	7149	1447
289	1447	7130	1423
290	1423	7070	1507
291	1507	7124	1369
292	1369	7238	1393
293	1393	7175	1432
294	1432	7165	1403
295	1403	7184	1413
296	1413	7199	1388
297	1388	7200	1412
298	1412	7144	1444
299	1444	7097	1459
300	1459	7073	1468
