Paso	Presa	Depredador	Hueco
0	1974	2026	6000
1	6000	2274	1726
2	1726	6360	1914
3	1914	2661	5425
4	5425	2333	2242
5	2242	5784	1974
6	1974	3125	4901
7	4901	2458	2641
8	2641	5293	2066
9	2066	3412	4522
10	4522	2582	2896
11	2896	4907	2197
12	2197	3652	4151
13	4151	2743	3106
14	3106	4592	2302
15	2302	3800	3898
16	3897	2864	3239
17	3239	4357	2404
18	2404	3898	3698
19	3698	2980	3322
20	3322	4120	2558
21	2558	3941	3501
22	3501	3124	3375
23	3375	3969	2656
24	2656	3984	3360
25	3360	3248	3392
26	3392	3869	2739
27	2739	3967	3294
28	3294	3314	3392
29	3392	3757	2851
30	2851	3950	3199
31	3199	3412	3389
32	3389	3729	2882
33	2882	3935	3183
34	3183	3461	3356
35	3356	3718	2926
36	2926	3907	3167
37	3167	3472	3361
38	3361	3662	2977
39	2977	3945	3078
40	3078	3549	3373
41	3373	3584	3043
42	3043	3931	3026
43	3026	3643	3331
44	3331	3555	3114
45	3114	3866	3020
46	3020	3691	3289
47	3289	3550	3161
48	3161	3830	3009
49	3009	3706	3285
