Paso	Presa	Depredador	Hueco
0	87	421	492
1	169	386	445
2	261	428	311
3	261	548	191
4	163	656	181
5	95	672	233
6	84	621	295
7	86	574	340
8	103	529	368
9	131	508	361
10	179	496	325
11	187	531	282
12	163	572	265
13	140	582	278
14	149	570	281
15	137	572	291
16	137	580	283
17	122	570	308
18	122	539	339
19	151	522	327
20	171	546	283
21	172	569	259
22	145	617	238
23	114	610	276
24	119	600	281
25	117	577	306
26	137	563	300
27	140	561	299
28	137	575	288
29	144	558	298
30	133	565	302
31	141	586	273
32	126	584	290
33	147	562	291
34	145	579	276
35	129	565	306
36	131	554	315
37	127	554	319
38	144	549	307
39	159	571	270
40	150	583	267
41	145	600	255
42	131	595	274
43	125	568	307
44	130	557	313
45	131	546	323
46	158	554	288
47	163	555	282
48	139	592	269
49	125	594	281
50	132	598	270
51	127	593	280
52	120	586	294
53	124	572	304
54	138	548	314
55	144	562	294
56	153	567	280
57	142	582	276
58	139	584	277
59	135	586	279
60	121	596	283
61	123	580	297
62	133	548	319
63	141	567	292
64	150	585	265
65	136	586	278
66	130	591	279
67	125	582	293
68	125	580	295
69	119	578	303
70	134	571	295
71	138	560	302
72	137	567	296
73	124	568	308
74	153	555	292
75	149	590	261
76	128	600	272
77	118	593	289
78	129	575	296
79	132	559	309
80	148	557	295
81	160	563	277
82	175	573	252
83	160	590	250
84	140	620	240
85	123	619	258
86	102	590	308
87	113	580	307
88	126	567	307
89	130	556	314
90	135	553	312
91	137	530	333
92	151	519	330
93	171	540	289
94	166	549	285
95	157	569	274
96	146	560	294
97	160	570	270
98	141	560	299
99	133	559	308
100	143	531	326
101	156	532	312
102	185	549	266
103	169	596	235
104	141	611	248
105	107	612	281
106	114	571	315
107	115	557	328
108	126	557	317
109	135	541	324
110	165	544	291
111	162	559	279
112	153	563	284
113	149	591	260
114	137	593	270
115	116	582	302
116	115	555	330
117	133	536	331
118	191	515	294
119	189	551	260
120	168	592	240
121	135	599	266
122	126	593	281
123	126	577	297
124	122	566	312
125	146	545	309
126	156	560	284
127	149	574	277
128	131	578	291
129	133	577	290
130	141	574	285
131	123	563	314
132	130	553	317
133	140	558	302
134	143	554	303
135	152	564	284
136	155	555	290
137	152	556	292
138	155	553	292
139	142	573	285
140	158	570	272
141	155	587	258
142	141	613	246
143	125	603	272
144	129	596	275
145	125	593	282
146	131	574	295
147	139	567	294
148	153	560	287
149	163	575	262
150	159	585	256
151	136	596	268
152	127	573	300
153	133	562	305
154	125	545	330
155	160	536	304
156	152	561	287
157	140	578	282
158	135	580	285
159	134	573	293
160	136	566	298
161	156	568	276
162	138	608	254
163	131	595	274
164	111	582	307
165	139	529	332
166	161	534	305
167	173	559	268
168	165	586	249
169	153	594	253
170	135	594	271
171	142	583	275
172	126	592	282
173	139	564	297
174	133	555	312
175	153	546	301
176	154	561	285
177	131	595	274
178	104	574	322
179	114	537	349
180	135	520	345
181	155	515	330
182	172	547	281
183	167	572	261
184	147	591	262
185	140	611	249
186	133	613	254
187	111	597	292
188	106	573	321
189	119	544	337
190	136	532	332
191	151	540	309
192	158	569	273
193	141	594	265
194	114	600	286
195	139	577	284
196	123	578	299
197	110	581	309
198	135	541	324
199	128	536	336
200	141	528	331
201	158	539	303
202	181	577	242
203	134	628	238
204	108	625	267
205	107	600	293
206	104	565	331
207	126	548	326
208	139	549	312
209	140	557	303
210	153	555	292
211	164	578	258
212	135	593	272
213	129	574	297
214	128	551	321
215	129	540	331
216	156	523	321
217	183	532	285
218	179	577	244
219	152	581	267
220	136	563	301
221	158	571	271
222	142	593	265
223	144	575	281
224	142	590	268
225	137	572	291
226	137	565	298
227	149	572	279
228	144	586	270
229	145	576	279
230	147	577	276
231	145	582	273
232	150	595	255
233	133	597	270
234	131	589	280
235	147	576	277
236	144	564	292
237	138	564	298
238	153	559	288
239	146	564	290
240	151	588	261
241	141	626	233
242	113	611	276
243	116	590	294
244	133	547	320
245	150	551	299
246	150	573	277
247	161	602	237
248	124	619	257
249	105	615	280
250	97	579	324
251	106	530	364
252	142	516	342
253	168	546	286
254	161	580	259
255	141	590	269
256	139	583	278
257	155	583	262
258	116	591	293
259	111	564	325
260	154	531	315
261	170	565	265
262	147	599	254
263	117	606	277
264	128	598	274
265	127	594	279
266	117	587	296
267	109	598	293
268	112	554	334
269	132	533	335
270	144	534	322
271	144	535	321
272	161	543	296
273	152	566	282
274	153	567	280
275	146	578	276
276	119	594	287
277	116	573	311
278	116	539	345
279	132	526	342
280	164	535	301
281	168	563	269
282	157	577	266
283	153	591	256
284	133	594	273
285	133	607	260
286	113	604	283
287	113	573	314
288	118	557	325
289	138	538	324
290	147	535	318
291	166	548	286
292	172	572	256
293	153	603	244
294	130	612	258
295	119	603	278
296	123	589	288
297	112	587	301
298	102	558	340
299	126	535	339
300	141	532	327
