Paso	Presa	Depredador	Hueco
0	981	4013	5006
1	1058	3372	5570
2	1094	2815	6091
3	1166	2321	6513
4	1225	1891	6884
5	1282	1590	7128
6	1330	1305	7365
7	1360	1079	7561
8	1391	905	7704
9	1453	763	7784
10	1479	653	7868
11	1501	574	7925
12	1551	477	7972
13	1594	410	7996
14	1632	345	8023
15	1682	320	7998
16	1730	279	7991
17	1766	245	7989
18	1801	215	7984
19	1842	204	7954
20	1881	175	7944
21	1907	163	7930
22	1937	144	7919
23	1961	139	7900
24	1994	128	7878
25	2022	116	7862
26	2048	104	7848
27	2075	99	7826
28	2106	95	7799
29	2130	96	7774
30	2150	92	7758
31	2165	82	7753
32	2184	71	7745
33	2218	61	7721
34	2238	65	7697
35	2253	62	7685
36	2268	65	7667
37	2268	68	7664
38	2276	68	7656
39	2286	67	7647
40	2293	57	7650
41	2312	52	7636
42	2331	50	7619
43	2349	47	7604
44	2369	46	7585
45	2379	49	7572
46	2383	48	7569
47	2394	46	7560
48	2410	46	7544
49	2415	40	7545
50	2429	42	7529
51	2438	39	7523
52	2441	42	7517
53	2452	39	7509
54	2462	39	7499
55	2476	38	7486
56	2486	36	7478
57	2496	37	7467
58	2504	36	7460
59	2511	34	7455
60	2518	31	7451
61	2524	30	7446
62	2528	32	7440
63	2526	34	7440
64	2524	40	7436
65	2525	37	7438
66	2527	36	7437
67	2528	32	7440
68	2529	31	7440
69	2522	36	7442
70	2522	38	7440
71	2524	42	7434
72	2528	39	7433
73	2526	39	7435
74	2523	37	7440
75	2518	38	7444
76	2509	41	7450
77	2509	40	7451
78	2515	32	7453
79	2521	25	7454
80	2524	25	7451
81	2529	23	7448
82	2528	27	7445
83	2539	26	7435
84	2549	22	7429
85	2553	22	7425
86	2555	25	7420
87	2555	29	7416
88	2555	28	7417
89	2559	27	7414
90	2561	24	7415
91	2563	25	7412
92	2563	19	7418
93	2565	17	7418
94	2572	16	7412
95	2577	13	7410
96	2582	11	7407
97	2583	13	7404
98	2582	16	7402
99	2579	20	7401
100	2580	20	7400
101	2580	19	7401
102	2581	20	7399
103	2577	21	7402
104	2577	19	7404
105	2569	24	7407
106	2571	19	7410
107	2573	20	7407
108	2573	22	7405
109	2573	23	7404
110	2571	25	7404
111	2570	25	7405
112	2570	24	7406
113	2568	25	7407
114	2565	25	7410
115	2560	24	7416
116	2558	25	7417
117	2556	28	7416
118	2559	28	7413
119	2556	24	7420
120	2552	25	7423
121	2548	28	7424
122	2544	28	7428
123	2543	24	7433
124	2547	22	7431
125	2551	24	7425
126	2551	24	7425
127	2551	25	7424
128	2553	20	7427
129	2554	21	7425
130	2552	19	7429
131	2553	18	7429
132	2552	18	7430
133	2556	13	7431
134	2563	9	7428
135	2563	10	7427
136	2564	7	7429
137	2567	5	7428
138	2571	5	7424
139	2572	6	7422
140	2578	5	7417
141	2580	6	7414
142	2584	6	7410
143	2587	6	7407
144	2589	6	7405
145	2589	7	7404
146	2589	8	7403
147	2591	7	7402
148	2591	6	7403
149	2593	6	7401
150	2593	6	7401
151	2593	6	7401
152	2592	7	7401
153	2590	10	7400
154	2590	8	7402
155	2592	9	7399
156	2592	7	7401
157	2594	6	7400
158	2598	7	7395
159	2600	10	7390
160	2601	10	7389
161	2601	8	7391
162	2605	4	7391
163	2609	4	7387
164	2609	5	7386
165	2609	5	7386
166	2610	5	7385
167	2610	4	7386
168	2611	4	7385
169	2610	4	7386
170	2608	5	7387
171	2606	6	7388
172	2605	5	7390
173	2605	5	7390
174	2604	7	7389
175	2601	10	7389
176	2597	13	7390
177	2597	12	7391
178	2596	11	7393
179	2595	8	7397
180	2595	8	7397
181	2595	7	7398
182	2593	7	7400
183	2593	8	7399
184	2594	8	7398
185	2596	7	7397
186	2595	9	7396
187	2598	9	7393
188	2595	12	7393
189	2592	13	7395
190	2592	14	7394
191	2594	14	7392
192	2593	14	7393
193	2593	12	7395
194	2595	9	7396
195	2593	10	7397
196	2593	9	7398
197	2591	6	7403
198	2591	6	7403
199	2594	7	7399
200	2595	6	7399
201	2596	6	7398
202	2595	5	7400
203	2597	3	7400
204	2598	3	7399
205	2597	4	7399
