Paso	Presa	Depredador	Hueco
0	5053	2000	2947
1	2947	6685	368
2	368	8261	1371
3	1371	6975	1654
4	1654	6931	1415
5	1415	7167	1418
6	1418	7102	1480
7	1480	7114	1406
8	1406	7143	1451
9	1451	7091	1458
10	1458	7108	1434
11	1434	7146	1420
12	1420	7101	1479
13	1479	7097	1424
14	1424	7192	1384
15	1384	7165	1451
16	1451	7081	1468
17	1468	7113	1419
18	1419	7090	1491
19	1491	7071	1438
20	1438	7127	1435
21	1435	7149	1416
22	1416	7124	1460
23	1460	7101	1439
24	1439	7156	1405
25	1405	7134	1461
26	1461	7071	1468
27	1468	7133	1399
28	1399	7147	1454
29	1454	7096	1450
30	1450	7103	1447
31	1447	7131	1422
32	1422	7139	1439
33	1439	7133	1428
34	1428	7106	1466
35	1466	7112	1422
36	1422	7176	1402
37	1402	7142	1456
38	1456	7023	1521
39	1521	7049	1430
40	1430	7150	1420
41	1420	7136	1444
42	1444	7176	1380
43	1380	7186	1434
44	1434	7155	1411
45	1411	7239	1350
46	1350	7252	1398
47	1398	7181	1421
48	1421	7108	1471
49	1471	7099	1430
