Paso	Presa	Depredador	Hueco
0	1956	2130	5914
1	4340	1573	4087
2	5526	2667	1807
3	3126	4457	2417
4	2240	3446	4314
5	3241	2404	4355
6	4513	2640	2847
7	3772	3664	2564
8	2802	3696	3502
9	3066	2913	4021
10	3875	2770	3355
11	3768	3344	2888
12	3136	3583	3281
13	3092	3199	3709
14	3506	2977	3517
15	3601	3200	3199
16	3347	3411	3242
17	3215	3227	3558
18	3460	3096	3444
19	3619	3178	3203
20	3422	3377	3201
21	3279	3327	3394
22	3362	3154	3484
23	3524	3161	3315
24	3454	3272	3274
25	3337	3270	3393
26	3396	3165	3439
27	3488	3207	3305
28	3447	3230	3323
29	3367	3273	3360
30	3381	3195	3424
31	3461	3195	3344
32	3436	3278	3286
33	3348	3246	3406
34	3360	3196	3444
35	3442	3169	3389
36	3473	3226	3301
37	3428	3313	3259
38	3281	3247	3472
39	3469	3103	3428
40	3557	3212	3231
41	3388	3341	3271
42	3358	3188	3454
43	3550	3115	3335
44	3510	3233	3257
45	3390	3293	3317
46	3351	3206	3443
47	3436	3095	3469
48	3616	3125	3259
49	3488	3370	3142
50	3262	3330	3408
51	3356	3126	3518
52	3574	3131	3295
53	3497	3283	3220
54	3300	3364	3336
55	3314	3156	3530
56	3513	3125	3362
57	3523	3252	3225
58	3430	3278	3292
59	3371	3236	3393
60	3387	3201	3412
61	3431	3186	3383
62	3488	3236	3276
63	3404	3252	3344
64	3417	3241	3342
65	3403	3187	3410
66	3425	3195	3380
67	3489	3158	3353
68	3449	3222	3329
69	3371	3308	3321
70	3365	3193	3442
71	3524	3157	3319
72	3486	3274	3240
73	3350	3297	3353
74	3380	3205	3415
75	3436	3181	3383
76	3480	3220	3300
77	3416	3274	3310
78	3408	3171	3421
79	3448	3226	3326
80	3390	3239	3371
81	3433	3177	3390
82	3497	3220	3283
83	3403	3258	3339
84	3391	3227	3382
85	3426	3196	3378
86	3457	3220	3323
87	3410	3279	3311
88	3360	3258	3382
89	3399	3189	3412
90	3475	3219	3306
91	3444	3249	3307
92	3372	3220	3408
93	3487	3171	3342
94	3476	3225	3299
95	3445	3228	3327
96	3344	3284	3372
97	3393	3169	3438
98	3492	3147	3361
99	3492	3228	3280
100	3386	3245	3369
101	3420	3179	3401
102	3476	3225	3299
103	3393	3313	3294
104	3263	3223	3514
105	3445	3135	3420
106	3564	3194	3242
107	3402	3343	3255
108	3304	3254	3442
109	3419	3164	3417
110	3492	3177	3331
111	3447	3268	3285
112	3366	3298	3336
113	3363	3222	3415
114	3435	3140	3425
115	3482	3207	3311
116	3449	3225	3326
117	3411	3226	3363
118	3393	3160	3447
119	3513	3133	3354
120	3508	3215	3277
121	3407	3293	3300
122	3340	3293	3367
123	3316	3221	3463
124	3468	3080	3452
125	3579	3173	3248
126	3401	3328	3271
127	3259	3274	3467
128	3400	3104	3496
129	3559	3135	3306
130	3479	3263	3258
131	3335	3307	3358
132	3329	3197	3474
133	3454	3113	3433
134	3549	3168	3283
135	3500	3307	3193
136	3306	3339	3355
137	3304	3208	3488
138	3429	3132	3439
139	3521	3208	3271
140	3425	3264	3311
141	3381	3189	3430
142	3473	3234	3293
143	3431	3193	3376
144	3440	3233	3327
145	3452	3166	3382
146	3467	3194	3339
147	3495	3222	3283
148	3477	3251	3272
149	3355	3265	3380
150	3414	3179	3407
151	3516	3173	3311
152	3417	3274	3309
153	3396	3227	3377
154	3478	3180	3342
155	3451	3226	3323
156	3422	3228	3350
157	3390	3270	3340
158	3390	3268	3342
159	3403	3208	3389
160	3414	3223	3363
161	3413	3208	3379
162	3391	3190	3419
163	3485	3159	3356
164	3448	3233	3319
165	3421	3218	3361
166	3384	3228	3388
167	3334	3242	3424
168	3420	3167	3413
169	3496	3152	3352
170	3491	3210	3299
171	3448	3251	3301
172	3388	3224	3388
173	3445	3189	3366
174	3436	3272	3292
175	3346	3254	3400
176	3392	3130	3478
177	3545	3165	3290
178	3482	3314	3204
179	3304	3311	3385
180	3327	3210	3463
181	3511	3112	3377
182	3444	3264	3292
183	3366	3250	3384
184	3353	3238	3409
185	3384	3201	3415
186	3491	3141	3368
187	3498	3218	3284
188	3415	3285	3300
189	3341	3270	3389
190	3391	3205	3404
191	3507	3138	3355
192	3438	3272	3290
193	3392	3238	3370
194	3414	3202	3384
195	3414	3242	3344
196	3370	3249	3381
197	3444	3183	3373
198	3458	3219	3323
199	3391	3273	3336
200	3410	3216	3374
201	3452	3224	3324
202	3438	3235	3327
203	3435	3205	3360
204	3484	3153	3363
205	3448	3262	3290
206	3347	3278	3375
207	3417	3154	3429
208	3510	3181	3309
209	3436	3250	3314
210	3401	3245	3354
211	3393	3205	3402
212	3429	3158	3413
213	3545	3170	3285
214	3426	3283	3291
215	3309	3310	3381
216	3321	3229	3450
217	3397	3176	3427
218	3451	3250	3299
219	3360	3280	3360
220	3390	3181	3429
221	3440	3153	3407
222	3462	3252	3286
223	3401	3232	3367
224	3442	3180	3378
225	3467	3225	3308
226	3373	3252	3375
227	3416	3180	3404
228	3486	3191	3323
229	3435	3269	3296
230	3367	3273	3360
231	3301	3234	3465
232	3483	3135	3382
233	3503	3234	3263
234	3390	3265	3345
235	3403	3230	3367
236	3421	3206	3373
237	3347	3207	3446
238	3457	3194	3349
239	3490	3241	3269
240	3381	3289	3330
241	3406	3208	3386
242	3392	3223	3385
243	3454	3169	3377
244	3523	3163	3314
245	3456	3275	3269
246	3361	3227	3412
247	3427	3203	3370
248	3381	3219	3400
249	3396	3187	3417
