Paso	Presa	Depredador	Hueco
0	4981	2048	2971
1	2971	5298	1731
2	1731	3796	4473
3	4473	2321	3206
4	3206	4786	2008
5	2008	3899	4093
6	4093	2590	3317
7	3317	4504	2179
8	2179	4012	3809
9	3809	2795	3396
10	3396	4218	2386
11	2386	4061	3553
12	3553	2985	3462
13	3462	3986	2552
14	2552	4100	3348
15	3348	3200	3452
16	3452	3827	2721
17	2721	4037	3242
18	3242	3340	3418
19	3418	3724	2858
20	2858	4043	3099
21	3099	3471	3430
22	3430	3594	2976
23	2976	3929	3095
24	3095	3536	3369
25	3369	3627	3004
26	3004	3889	3107
27	3107	3548	3345
28	3345	3680	2975
29	2975	3893	3132
30	3132	3583	3285
31	3285	3702	3013
32	3013	3855	3132
33	3132	3562	3306
34	3306	3635	3059
35	3059	3852	3089
36	3089	3614	3297
37	3297	3614	3089
38	3089	3812	3099
39	3099	3686	3215
40	3215	3638	3147
41	3147	3772	3081
42	3081	3700	3219
43	3219	3638	3143
44	3143	3780	3077
45	3077	3707	3216
46	3216	3621	3163
47	3163	3756	3081
48	3081	3717	3202
49	3202	3586	3212
