Paso	Presa	Depredador	Hueco
0	94	413	493
1	493	426	81
2	81	825	94
3	94	739	167
4	167	680	153
5	153	724	123
6	123	732	145
7	145	710	145
8	145	695	160
9	160	711	129
10	129	723	148
11	148	713	139
12	139	722	139
13	139	712	149
14	149	715	136
15	136	712	152
16	152	723	125
17	125	712	163
18	163	695	142
19	142	717	141
20	141	718	141
21	141	719	140
22	140	713	147
23	147	712	141
24	141	724	135
25	135	724	141
26	141	710	149
27	149	713	138
28	138	690	172
29	172	687	141
30	141	725	134
31	134	712	154
32	154	703	143
33	143	735	122
34	122	734	144
35	144	713	143
36	143	710	147
37	147	710	143
38	143	722	135
39	135	731	134
40	134	726	140
41	140	702	158
42	158	698	144
43	144	723	133
44	133	721	146
45	146	700	154
46	154	710	136
47	136	714	150
48	150	706	144
49	144	728	128
50	128	718	154
51	154	702	144
52	144	718	138
53	138	715	147
54	147	696	157
55	157	718	125
56	125	742	133
57	133	735	132
58	132	742	126
59	126	730	144
60	144	714	142
61	142	713	145
62	145	704	151
63	151	708	141
64	141	720	139
65	139	731	130
66	130	713	157
67	157	699	144
68	144	715	141
69	141	730	129
70	129	722	149
71	149	709	142
72	142	710	148
73	148	720	132
74	132	725	143
75	143	710	147
76	147	692	161
77	161	690	149
78	149	703	148
79	148	714	138
80	138	726	136
81	136	725	139
82	139	707	154
83	154	699	147
84	147	716	137
85	137	715	148
86	148	715	137
87	137	713	150
88	150	720	130
89	130	737	133
90	133	731	136
91	136	716	148
92	148	700	152
93	152	707	141
94	141	725	134
95	134	724	142
96	142	739	119
97	119	742	139
98	139	682	179
99	179	699	122
100	122	723	155
101	155	696	149
102	149	711	140
103	140	725	135
104	135	719	146
105	146	716	138
106	138	737	125
107	125	738	137
108	137	727	136
109	136	693	171
110	171	690	139
111	139	726	135
112	135	735	130
113	130	721	149
114	149	724	127
115	127	739	134
116	134	710	156
117	156	701	143
118	143	714	143
119	143	717	140
120	140	725	135
121	135	726	139
122	139	721	140
123	140	722	138
124	138	723	139
125	139	727	134
126	134	724	142
127	142	729	129
128	129	725	146
129	146	703	151
130	151	727	122
131	122	739	139
132	139	707	154
133	154	697	149
134	149	705	146
135	146	685	169
136	169	691	140
137	140	725	135
138	135	715	150
139	150	707	143
140	143	720	137
141	137	731	132
142	132	707	161
143	161	699	140
144	140	740	120
145	120	742	138
146	138	705	157
147	157	707	136
148	136	717	147
149	147	706	147
150	147	701	152
151	152	702	146
152	146	700	154
153	154	705	141
154	141	719	140
155	140	707	153
156	153	702	145
157	145	694	161
158	161	708	131
159	131	710	159
160	159	690	151
161	151	717	132
162	132	698	170
163	170	692	138
164	138	714	148
165	148	704	148
166	148	720	132
167	132	712	156
168	156	708	136
169	136	720	144
170	144	712	144
171	144	731	125
172	125	727	148
173	148	692	160
174	160	700	140
175	140	727	133
176	133	726	141
177	141	717	142
178	142	712	146
179	146	712	142
180	142	718	140
181	140	717	143
182	143	717	140
183	140	718	142
184	142	705	153
185	153	699	148
186	148	707	145
187	145	715	140
188	140	715	145
189	145	711	144
190	144	713	143
191	143	730	127
192	127	737	136
193	136	711	153
194	153	680	167
195	167	686	147
196	147	707	146
197	146	719	135
198	135	707	158
199	158	707	135
200	135	734	131
201	131	717	152
202	152	703	145
203	145	731	124
204	124	721	155
205	155	697	148
206	148	718	134
207	134	727	139
208	139	725	136
209	136	723	141
210	141	719	140
211	140	701	159
212	159	686	155
213	155	709	136
214	136	715	149
215	149	712	139
216	139	716	145
217	145	714	141
218	141	724	135
219	135	726	139
220	139	733	128
221	128	734	138
222	138	724	138
223	138	717	145
224	145	714	141
225	141	717	142
226	142	726	132
227	132	718	150
228	150	702	148
229	148	718	134
230	134	710	156
231	156	704	140
232	140	726	134
233	134	708	158
234	158	703	139
235	139	713	148
236	148	707	145
237	145	725	130
238	130	729	141
239	141	711	148
240	148	713	139
241	139	712	149
242	149	730	121
243	121	748	131
244	131	724	145
245	145	715	140
246	140	714	146
247	146	709	145
248	145	700	155
249	155	703	142
250	142	724	134
251	134	729	137
252	137	719	144
253	144	710	146
254	146	712	142
255	142	704	154
256	154	711	135
257	135	729	136
258	136	708	156
259	156	703	141
260	141	738	121
261	121	747	132
262	132	739	129
263	129	733	138
264	138	698	164
265	164	696	140
266	140	727	133
267	133	718	149
268	149	711	140
269	140	720	140
270	140	707	153
271	153	712	135
272	135	717	148
273	148	696	156
274	156	700	144
275	144	736	120
276	120	722	158
277	158	699	143
278	143	722	135
279	135	725	140
280	140	711	149
281	149	697	154
282	154	717	129
283	129	740	131
284	131	712	157
285	157	710	133
286	133	736	131
287	131	734	135
288	135	745	120
289	120	724	156
290	156	702	142
291	142	718	140
292	140	704	156
293	156	705	139
294	139	711	150
295	150	710	140
296	140	722	138
297	138	705	157
298	157	699	144
299	144	720	136
300	136	706	158
301	158	714	128
302	128	721	151
303	151	718	131
304	131	728	141
305	141	726	133
306	133	722	145
307	145	696	159
308	159	721	120
309	120	741	139
310	139	710	151
311	151	715	134
312	134	714	152
313	152	707	141
314	141	719	140
315	140	691	169
316	169	688	143
317	143	723	134
318	134	733	133
319	133	726	141
320	141	687	172
321	172	688	140
322	140	730	130
323	130	730	140
324	140	726	134
325	134	746	120
326	120	730	150
327	150	690	160
328	160	704	136
329	136	742	122
330	122	718	160
331	160	706	134
332	134	715	151
333	151	711	138
334	138	724	138
335	138	714	148
336	148	705	147
337	147	704	149
338	149	710	141
339	141	710	149
340	149	708	143
341	143	723	134
342	134	739	127
343	127	711	162
344	162	690	148
345	148	732	120
346	120	730	150
347	150	709	141
348	141	703	156
349	156	707	137
350	137	737	126
351	126	724	150
352	150	703	147
353	147	705	148
354	148	697	155
355	155	698	147
356	147	722	131
357	131	724	145
358	145	714	141
359	141	708	151
360	151	690	159
361	159	709	132
362	132	738	130
363	130	726	144
364	144	715	141
365	141	712	147
366	147	699	154
367	154	690	156
368	156	696	148
369	148	709	143
370	143	720	137
371	137	713	150
372	150	713	137
373	137	725	138
374	138	721	141
375	141	720	139
376	139	731	130
377	130	716	154
378	154	701	145
379	145	723	132
380	132	693	175
381	175	679	146
382	146	711	143
383	143	705	152
384	152	691	157
385	157	701	142
386	142	716	142
387	142	696	162
388	162	693	145
389	145	721	134
390	134	727	139
391	139	709	152
392	152	701	147
393	147	701	152
394	152	691	157
395	157	703	140
396	140	721	139
397	139	720	141
398	141	726	133
399	133	716	151
400	151	705	144
401	144	703	153
402	153	692	155
403	155	698	147
404	147	717	136
405	136	711	153
406	153	705	142
407	142	712	146
408	146	707	147
409	147	713	140
410	140	709	151
411	151	711	138
412	138	710	152
413	152	708	140
414	140	714	146
415	146	722	132
416	132	720	148
417	148	699	153
418	153	701	146
419	146	718	136
420	136	734	130
421	130	716	154
422	154	697	149
423	149	713	138
424	138	698	164
425	164	697	139
426	139	735	126
427	126	722	152
428	152	694	154
429	154	681	165
430	165	700	135
431	135	714	151
432	151	689	160
433	160	695	145
434	145	695	160
435	160	708	132
436	132	725	143
437	143	701	156
438	156	708	136
439	136	734	130
440	130	718	152
441	152	702	146
442	146	722	132
443	132	701	167
444	167	698	135
445	135	712	153
446	153	723	124
447	124	746	130
448	130	711	159
449	159	699	142
450	142	723	135
451	135	705	160
452	160	695	145
453	145	726	129
454	129	720	151
455	151	697	152
456	152	711	137
457	137	718	145
458	145	707	148
459	148	713	139
460	139	726	135
461	135	715	150
462	150	716	134
463	134	724	142
464	142	704	154
465	154	708	138
466	138	723	139
467	139	728	133
468	133	713	154
469	154	707	139
470	139	733	128
471	128	706	166
472	166	694	140
473	140	711	149
474	149	701	150
475	150	708	142
476	142	706	152
477	152	698	150
478	150	715	135
479	135	740	125
480	125	715	160
481	160	689	151
482	151	699	150
483	150	705	145
484	145	725	130
485	130	735	135
486	135	743	122
487	122	725	153
488	153	699	148
489	148	705	147
490	147	721	132
491	132	719	149
492	149	722	129
493	129	725	146
494	146	711	143
495	143	721	136
496	136	729	135
497	135	702	163
498	163	697	140
499	140	699	161
500	161	694	145
