Paso	Presa	Depredador	Hueco
0	3538	3508	2954
1	2975	6305	720
2	720	8034	1246
3	941	7153	1906
4	1610	6664	1726
5	1645	6965	1390
6	1339	7305	1356
7	1268	7157	1575
8	1438	6965	1597
9	1505	7015	1480
10	1414	7088	1498
11	1400	7009	1591
12	1492	7027	1481
13	1414	7111	1475
14	1390	7128	1482
15	1403	7119	1478
16	1406	7136	1458
17	1375	7127	1498
18	1401	7080	1519
19	1440	7083	1477
20	1388	7076	1536
21	1432	6971	1597
22	1505	6944	1551
23	1470	7062	1468
24	1397	7145	1458
25	1367	7190	1443
26	1331	7141	1528
27	1416	7079	1505
28	1418	7055	1527
29	1427	7026	1547
30	1461	7015	1524
31	1449	7059	1492
32	1419	7046	1535
33	1440	7096	1464
34	1377	7133	1490
35	1378	7135	1487
36	1396	7044	1560
37	1465	7067	1468
38	1384	7110	1506
39	1407	7085	1508
40	1411	7121	1468
41	1373	7125	1502
42	1401	7013	1586
43	1496	7039	1465
44	1393	7096	1511
45	1420	7056	1524
46	1451	7048	1501
47	1413	7097	1490
48	1401	7074	1525
49	1423	7081	1496
50	1403	7080	1517
51	1414	7038	1548
52	1471	7014	1515
53	1450	7120	1430
54	1337	7202	1461
55	1345	7102	1553
56	1466	7002	1532
57	1454	7109	1437
58	1373	7159	1468
59	1379	7100	1521
60	1438	7090	1472
61	1384	7103	1513
62	1430	7134	1436
63	1370	7107	1523
64	1421	7090	1489
65	1392	7083	1525
66	1434	7001	1565
67	1481	6968	1551
68	1478	7082	1440
69	1370	7133	1497
70	1413	7102	1485
71	1395	7133	1472
72	1379	7175	1446
73	1337	7161	1502
74	1387	7048	1565
75	1456	6970	1574
76	1493	7055	1452
77	1377	7140	1483
78	1374	7119	1507
79	1408	7078	1514
80	1425	7045	1530
81	1440	7038	1522
82	1427	7047	1526
83	1434	7090	1476
84	1387	7140	1473
85	1379	7129	1492
86	1400	7027	1573
87	1471	6986	1543
88	1455	7062	1483
89	1405	7101	1494
90	1420	7067	1513
91	1434	7068	1498
92	1415	7090	1495
93	1396	7085	1519
94	1437	7069	1494
95	1405	7124	1471
96	1374	7125	1501
97	1403	7018	1579
98	1482	7027	1491
99	1417	7126	1457
100	1364	7096	1540
101	1455	6988	1557
102	1483	7067	1450
103	1377	7171	1452
104	1380	7079	1541
105	1445	7047	1508
106	1426	7029	1545
107	1440	7104	1456
108	1373	7149	1478
109	1390	7094	1516
110	1424	7092	1484
111	1385	7104	1511
112	1428	7026	1546
113	1449	7019	1532
114	1439	7071	1490
115	1423	7051	1526
116	1448	7009	1543
117	1470	7072	1458
118	1378	7111	1511
119	1414	7091	1495
120	1421	7033	1546
121	1461	7119	1420
122	1347	7163	1490
123	1389	7086	1525
124	1427	7039	1534
125	1450	7105	1445
126	1365	7137	1498
127	1383	7041	1576
128	1470	7086	1444
129	1383	7128	1489
130	1397	7103	1500
131	1427	7106	1467
132	1376	7044	1580
133	1473	7018	1509
134	1426	6998	1576
135	1485	7019	1496
136	1425	7056	1519
137	1431	7091	1478
138	1414	7075	1511
139	1423	7067	1510
140	1415	7112	1473
141	1405	7109	1486
142	1399	7013	1588
143	1496	7005	1499
144	1428	7100	1472
145	1383	7123	1494
146	1386	7109	1505
147	1410	7060	1530
148	1454	6983	1563
149	1484	7059	1457
150	1387	7107	1506
151	1410	7011	1579
152	1485	6989	1526
153	1443	7123	1434
154	1351	7163	1486
155	1404	7108	1488
156	1408	7122	1470
157	1394	7181	1425
158	1335	7205	1460
159	1359	7105	1536
160	1439	7035	1526
161	1445	7080	1475
162	1374	7108	1518
163	1416	7063	1521
164	1413	7043	1544
165	1459	7061	1480
166	1415	7078	1507
167	1432	7074	1494
168	1422	7105	1473
169	1381	7125	1494
170	1394	7119	1487
171	1403	7047	1550
172	1461	7044	1495
173	1404	7058	1538
174	1422	7043	1535
175	1448	7036	1516
176	1446	7127	1427
177	1353	7156	1491
178	1398	7055	1547
179	1454	7034	1512
180	1421	7113	1466
181	1394	7071	1535
182	1449	6999	1552
183	1470	7092	1438
184	1361	7139	1500
185	1396	7090	1514
186	1393	7077	1530
187	1436	7009	1555
188	1464	7058	1478
189	1396	7150	1454
190	1358	7146	1496
191	1398	7103	1499
192	1403	7068	1529
193	1431	7071	1498
194	1408	7140	1452
195	1363	7099	1538
196	1436	7001	1563
197	1479	7014	1507
198	1429	7077	1494
199	1418	7047	1535
200	1445	7065	1490
201	1412	7079	1509
202	1416	7101	1483
