Paso	Presa	Depredador	Hueco
0	5019	2023	2958
1	6526	1612	1862
2	6982	1615	1403
3	6917	1703	1380
4	6701	1821	1478
5	6568	1851	1581
6	6600	1806	1594
7	6571	1874	1555
8	6480	1906	1614
9	6457	1871	1672
10	6512	1852	1636
11	6503	1912	1585
12	6455	1875	1670
13	6515	1872	1613
14	6553	1839	1608
15	6606	1796	1598
16	6656	1771	1573
17	6632	1831	1537
18	6573	1816	1611
19	6566	1880	1554
20	6488	1855	1657
21	6538	1858	1604
22	6526	1860	1614
23	6581	1791	1628
24	6667	1779	1554
25	6658	1805	1537
26	6632	1782	1586
27	6645	1790	1565
28	6635	1827	1538
29	6551	1881	1568
30	6526	1831	1643
31	6631	1779	1590
32	6647	1797	1556
33	6613	1823	1564
34	6562	1832	1606
35	6584	1823	1593
36	6609	1813	1578
37	6581	1843	1576
38	6544	1868	1588
39	6494	1896	1610
40	6453	1898	1649
41	6459	1890	1651
42	6491	1843	1666
43	6628	1794	1578
44	6657	1797	1546
45	6577	1859	1564
46	6476	1875	1649
47	6518	1839	1643
48	6611	1825	1564
49	6557	1855	1588
