Paso	Presa	Depredador	Hueco
0	3547	3503	2950
1	3475	5120	1405
2	1794	6757	1449
3	932	6886	2182
4	763	6286	2951
5	833	5721	3446
6	1143	5230	3627
7	1469	5095	3436
8	1680	5297	3023
9	1666	5608	2726
10	1513	5829	2658
11	1339	5972	2689
12	1284	5908	2808
13	1209	5839	2952
14	1260	5667	3073
15	1382	5643	2975
16	1395	5662	2943
17	1396	5675	2929
18	1473	5668	2859
19	1455	5797	2748
20	1413	5822	2765
21	1325	5834	2841
22	1356	5772	2872
23	1398	5753	2849
24	1345	5844	2811
25	1387	5740	2873
26	1409	5744	2847
27	1377	5765	2858
28	1363	5768	2869
29	1377	5755	2868
30	1374	5737	2889
31	1345	5741	2914
32	1359	5733	2908
33	1379	5689	2932
34	1430	5656	2914
35	1435	5730	2835
36	1424	5840	2736
37	1341	5919	2740
38	1274	5888	2838
39	1297	5787	2916
40	1409	5674	2917
41	1404	5754	2842
42	1378	5812	2810
43	1398	5792	2810
44	1348	5770	2882
45	1363	5712	2925
46	1377	5711	2912
47	1413	5677	2910
48	1416	5699	2885
49	1459	5704	2837
50	1342	5821	2837
51	1345	5764	2891
52	1359	5701	2940
53	1398	5704	2898
54	1441	5687	2872
55	1459	5704	2837
56	1396	5793	2811
57	1367	5733	2900
58	1436	5745	2819
59	1409	5784	2807
60	1363	5795	2842
61	1311	5755	2934
62	1324	5674	3002
63	1394	5671	2935
64	1379	5684	2937
65	1449	5657	2894
66	1467	5694	2839
67	1419	5769	2812
68	1327	5833	2840
69	1281	5741	2978
70	1344	5646	3010
71	1395	5624	2981
72	1482	5681	2837
73	1438	5740	2822
74	1334	5820	2846
75	1289	5706	3005
76	1374	5644	2982
77	1408	5592	3000
78	1466	5660	2874
79	1450	5749	2801
80	1420	5813	2767
81	1385	5786	2829
82	1390	5792	2818
83	1301	5797	2902
84	1353	5725	2922
85	1374	5689	2937
86	1377	5697	2926
87	1409	5716	2875
88	1401	5757	2842
89	1397	5794	2809
90	1344	5807	2849
91	1320	5760	2920
92	1285	5707	3008
93	1320	5584	3096
94	1442	5578	2980
95	1496	5638	2866
96	1470	5787	2743
97	1321	5881	2798
98	1208	5829	2963
99	1236	5659	3105
100	1393	5531	3076
101	1478	5643	2879
102	1470	5718	2812
103	1429	5745	2826
104	1425	5799	2776
105	1389	5808	2803
106	1280	5795	2925
107	1304	5688	3008
108	1373	5637	2990
109	1438	5596	2966
110	1529	5651	2820
111	1453	5790	2757
112	1377	5887	2736
113	1307	5889	2804
114	1315	5713	2972
115	1370	5680	2950
116	1423	5612	2965
117	1501	5708	2791
118	1474	5797	2729
119	1406	5881	2713
120	1288	5900	2812
121	1247	5763	2990
122	1317	5635	3048
123	1425	5516	3059
124	1493	5554	2953
125	1481	5699	2820
126	1421	5774	2805
127	1407	5734	2859
128	1457	5750	2793
129	1450	5819	2731
130	1332	5850	2818
131	1334	5755	2911
132	1347	5734	2919
133	1403	5661	2936
134	1419	5624	2957
135	1433	5641	2926
136	1430	5649	2921
137	1453	5674	2873
138	1474	5761	2765
139	1402	5759	2839
140	1347	5796	2857
141	1333	5756	2911
142	1335	5715	2950
143	1387	5723	2890
144	1397	5673	2930
145	1406	5665	2929
146	1452	5648	2900
147	1452	5762	2786
148	1423	5789	2788
149	1404	5815	2781
150	1359	5828	2813
151	1330	5789	2881
152	1376	5697	2927
153	1381	5690	2929
154	1415	5695	2890
155	1460	5721	2819
156	1451	5725	2824
157	1380	5755	2865
158	1348	5750	2902
159	1369	5613	3018
160	1511	5569	2920
161	1508	5653	2839
162	1454	5757	2789
163	1421	5751	2828
164	1408	5795	2797
165	1354	5779	2867
166	1411	5763	2826
167	1428	5765	2807
168	1421	5815	2764
169	1325	5822	2853
170	1326	5752	2922
171	1316	5699	2985
172	1372	5600	3028
173	1456	5621	2923
174	1443	5765	2792
175	1393	5797	2810
176	1383	5831	2786
177	1377	5785	2838
178	1301	5810	2889
179	1331	5726	2943
180	1395	5677	2928
181	1390	5689	2921
182	1408	5714	2878
183	1435	5721	2844
184	1407	5764	2829
185	1395	5776	2829
186	1333	5853	2814
187	1307	5772	2921
188	1351	5681	2968
189	1406	5635	2959
190	1380	5667	2953
191	1420	5660	2920
192	1443	5694	2863
193	1431	5782	2787
194	1381	5816	2803
195	1342	5753	2905
196	1327	5651	3022
197	1398	5625	2977
198	1408	5654	2938
199	1423	5735	2842
200	1337	5756	2907
201	1360	5726	2914
202	1416	5691	2893
203	1403	5719	2878
204	1386	5762	2852
205	1371	5750	2879
206	1343	5766	2891
207	1357	5740	2903
208	1313	5743	2944
209	1390	5614	2996
210	1422	5588	2990
211	1478	5586	2936
212	1472	5692	2836
213	1478	5783	2739
214	1390	5862	2748
215	1299	5864	2837
