Paso	Presa	Depredador	Hueco
0	7992	1979	29
1	30	8294	1676
2	783	1264	7953
3	7954	982	1064
4	1136	8041	823
5	823	2331	6846
6	6846	1174	1980
7	1991	7014	995
8	995	3030	5975
9	5975	1455	2570
10	2573	6190	1237
11	1237	3512	5251
12	5251	1792	2957
13	2957	5525	1518
14	1518	3807	4675
15	4675	2094	3231
16	3231	4973	1796
17	1796	3996	4208
18	4208	2384	3408
19	3408	4553	2039
20	2039	4138	3823
21	3823	2670	3507
22	3507	4215	2278
23	2278	4178	3544
24	3544	2921	3535
25	3535	3990	2475
26	2475	4119	3406
27	3406	3082	3512
28	3512	3858	2630
29	2630	4109	3261
30	3261	3257	3482
31	3482	3750	2768
32	2768	4018	3214
33	3214	3382	3404
34	3404	3757	2839
35	2839	3994	3167
36	3167	3484	3349
37	3349	3654	2997
38	2997	3978	3025
39	3025	3598	3377
40	3377	3575	3048
41	3048	3906	3046
42	3046	3616	3338
43	3338	3615	3047
44	3047	3849	3104
45	3104	3612	3284
46	3284	3677	3039
47	3039	3786	3175
48	3175	3621	3204
49	3204	3722	3074
