Paso	Presa	Depredador	Hueco
0	4994	2035	2971
1	2971	6827	202
2	202	9059	739
3	738	8370	892
4	892	8284	824
5	824	8333	843
6	843	8353	804
7	804	8346	850
8	850	8296	854
9	854	8295	851
10	851	8299	850
11	850	8311	839
12	839	8340	821
13	821	8371	808
14	808	8324	868
15	868	8315	817
16	817	8366	817
17	817	8324	859
18	859	8325	816
19	816	8325	859
20	859	8306	835
21	835	8303	862
22	862	8310	828
23	828	8313	859
24	859	8321	820
25	820	8289	891
26	891	8256	853
27	853	8283	864
28	864	8216	920
29	920	8250	830
30	830	8311	859
31	859	8330	811
32	811	8374	815
33	815	8352	833
34	833	8344	823
35	823	8313	864
36	864	8347	789
37	789	8343	868
38	868	8325	807
39	807	8347	846
40	846	8336	818
41	818	8339	843
42	843	8287	870
43	870	8302	828
44	828	8346	826
45	826	8313	861
46	861	8320	819
47	819	8341	840
48	840	8317	843
49	843	8344	813
