Paso	Presa	Depredador	Hueco
0	1029	4073	4898
1	1163	3468	5369
2	1334	3018	5648
3	1480	2639	5881
4	1684	2278	6038
5	1853	2057	6090
6	2079	1854	6067
7	2267	1736	5997
8	2467	1621	5912
9	2708	1544	5748
10	2900	1507	5593
11	3087	1503	5410
12	3215	1541	5244
13	3279	1616	5105
14	3426	1608	4966
15	3555	1590	4855
16	3642	1613	4745
17	3693	1665	4642
18	3761	1701	4538
19	3765	1801	4434
20	3730	1855	4415
21	3705	1881	4414
22	3755	1880	4365
23	3700	1928	4372
24	3686	1942	4372
25	3622	2045	4333
26	3606	2043	4351
27	3556	2045	4399
28	3567	1996	4437
29	3566	1980	4454
30	3580	1997	4423
31	3578	1996	4426
32	3584	2003	4413
33	3585	2017	4398
34	3583	2030	4387
35	3616	2011	4373
36	3660	2012	4328
37	3622	2015	4363
38	3576	2024	4400
39	3548	2013	4439
40	3594	1983	4423
41	3594	1958	4448
42	3624	1890	4486
43	3668	1872	4460
44	3672	1903	4425
45	3684	1939	4377
46	3629	1930	4441
47	3612	1915	4473
48	3603	1910	4487
49	3582	1907	4511
50	3565	1941	4494
51	3604	1943	4453
52	3563	1948	4489
53	3585	1986	4429
54	3548	2002	4450
55	3546	2010	4444
56	3498	2007	4495
57	3507	1992	4501
58	3502	1980	4518
59	3512	1996	4492
60	3520	1972	4508
61	3540	1917	4543
62	3571	1913	4516
63	3606	1939	4455
64	3593	1939	4468
65	3574	1932	4494
66	3543	1977	4480
67	3566	1934	4500
68	3568	1894	4538
69	3576	1884	4540
70	3610	1926	4464
71	3603	1954	4443
72	3585	1954	4461
73	3560	1988	4452
74	3585	1969	4446
75	3589	1951	4460
76	3609	1972	4419
77	3593	1978	4429
78	3603	1982	4415
79	3587	1976	4437
80	3570	1993	4437
81	3514	2076	4410
82	3487	2077	4436
83	3465	2123	4412
84	3463	2087	4450
85	3474	2051	4475
86	3488	2026	4486
87	3477	2010	4513
88	3491	2028	4481
89	3509	2010	4481
90	3511	2012	4477
91	3488	2002	4510
92	3476	1994	4530
93	3487	1985	4528
94	3485	2007	4508
95	3489	1972	4539
96	3511	1933	4556
97	3515	1923	4562
98	3507	1919	4574
99	3510	1927	4563
100	3488	1928	4584
101	3533	1915	4552
102	3553	1951	4496
103	3624	1901	4475
104	3713	1872	4415
105	3716	1904	4380
106	3702	1908	4390
107	3696	1918	4386
108	3701	1944	4355
109	3672	1936	4392
110	3695	1938	4367
111	3688	1954	4358
112	3685	1944	4371
113	3733	1917	4350
114	3771	1912	4317
115	3773	1910	4317
116	3745	1948	4307
117	3724	1934	4342
118	3696	1951	4353
119	3712	1959	4329
120	3665	1955	4380
121	3676	1942	4382
122	3664	1956	4380
123	3661	1984	4355
124	3665	1976	4359
125	3680	1934	4386
126	3655	1987	4358
127	3643	1950	4407
128	3633	1943	4424
129	3664	1916	4420
130	3687	1899	4414
131	3733	1900	4367
132	3785	1889	4326
133	3804	1908	4288
134	3854	1928	4218
135	3873	1922	4205
136	3841	1950	4209
137	3829	1992	4179
138	3815	2018	4167
139	3814	2003	4183
140	3759	2034	4207
141	3720	2031	4249
142	3701	2013	4286
143	3653	2005	4342
144	3679	1954	4367
145	3716	1955	4329
146	3670	1966	4364
