Paso	Presa	Depredador	Hueco
0	84	406	510
1	510	414	76
2	76	847	77
3	77	741	182
4	182	674	144
5	144	714	142
6	142	710	148
7	148	720	132
8	132	723	145
9	145	698	157
10	157	726	117
11	117	724	159
12	159	707	134
13	134	729	137
14	137	716	147
15	147	715	138
16	138	742	120
17	120	734	146
18	146	694	160
19	160	712	128
20	128	725	147
21	147	706	147
22	147	731	122
23	122	726	152
24	152	713	135
25	135	721	144
26	144	736	120
27	120	737	143
28	143	718	139
29	139	693	168
30	168	688	144
31	144	726	130
32	130	742	128
33	128	731	141
34	141	713	146
35	146	704	150
36	150	702	148
37	148	698	154
38	154	728	118
39	118	732	150
40	150	707	143
41	143	721	136
42	136	712	152
43	152	714	134
44	134	727	139
45	139	702	159
46	159	702	139
47	139	739	122
48	122	700	178
49	178	670	152
50	152	713	135
51	135	722	143
52	143	723	134
53	134	705	161
54	161	699	140
55	140	707	153
56	153	710	137
57	137	722	141
58	141	709	150
59	150	699	151
60	151	710	139
61	139	716	145
62	145	724	131
63	131	710	159
64	159	711	130
65	130	734	136
66	136	720	144
67	144	714	142
68	142	737	121
69	121	724	155
70	155	703	142
71	142	724	134
72	134	733	133
73	133	731	136
74	136	706	158
75	158	714	128
76	128	724	148
77	148	698	154
78	154	724	122
79	122	726	152
80	152	714	134
81	134	721	145
82	145	724	131
83	131	717	152
84	152	702	146
85	146	691	163
86	163	713	124
87	124	738	138
88	138	700	162
89	162	696	142
90	142	715	143
91	143	707	150
92	150	694	156
93	156	700	144
94	144	713	143
95	143	702	155
96	155	696	149
97	149	678	173
98	173	700	127
99	127	734	139
100	139	709	152
101	152	703	145
102	145	710	145
103	145	717	138
104	138	707	155
105	155	695	150
106	150	707	143
107	143	717	140
108	140	697	163
109	163	711	126
110	126	759	115
111	115	754	131
112	131	712	157
113	157	689	154
114	154	684	162
115	162	697	141
116	141	726	133
117	133	728	139
118	139	732	129
119	129	740	131
120	131	733	136
121	136	722	142
122	142	726	132
123	132	709	159
124	159	714	127
125	127	715	158
126	158	694	148
127	148	715	137
128	137	728	135
129	135	739	126
130	126	716	158
131	158	711	131
132	131	720	149
133	149	695	156
134	156	709	135
135	135	713	152
136	152	708	140
137	140	710	150
138	150	706	144
139	144	729	127
140	127	715	158
141	158	691	151
142	151	707	142
143	142	715	143
144	143	708	149
145	149	715	136
146	136	721	143
147	143	725	132
148	132	712	156
149	156	695	149
150	149	723	128
151	128	743	129
152	129	712	159
153	159	676	165
154	165	689	146
155	146	715	139
156	139	720	141
157	141	716	143
158	143	717	140
159	140	719	141
160	141	717	142
161	142	726	132
162	132	717	151
163	151	701	148
164	148	721	131
165	131	710	159
166	159	690	151
167	151	723	126
168	126	733	141
169	141	717	142
170	142	716	142
171	142	722	136
172	136	735	129
173	129	728	143
174	143	709	148
175	148	713	139
176	139	730	131
177	131	716	153
178	153	720	127
179	127	738	135
180	135	716	149
181	149	727	124
182	124	712	164
183	164	701	135
184	135	711	154
185	154	691	155
186	155	696	149
187	149	723	128
188	128	734	138
189	138	709	153
190	153	707	140
191	140	719	141
192	141	721	138
193	138	721	141
194	141	707	152
195	152	677	171
196	171	691	138
197	138	740	122
198	122	744	134
199	134	707	159
200	159	702	139
201	139	730	131
202	131	712	157
203	157	711	132
204	132	732	136
205	136	736	128
206	128	727	145
207	145	722	133
208	133	715	152
209	152	709	139
210	139	704	157
211	157	718	125
212	125	734	141
213	141	718	141
214	141	717	142
215	142	703	155
216	155	716	129
217	129	723	148
218	148	704	148
219	148	713	139
220	139	738	123
221	123	722	155
222	155	698	147
223	147	714	139
224	139	709	152
225	152	702	146
226	146	706	148
227	148	712	140
228	140	739	121
229	121	739	140
230	140	723	137
231	137	711	152
232	152	688	160
233	160	719	121
234	121	741	138
235	138	720	142
236	142	706	152
237	152	716	132
238	132	711	157
239	157	697	146
240	146	707	147
241	147	709	144
242	144	720	136
243	136	723	141
244	141	711	148
245	148	705	147
246	147	700	153
247	153	709	138
248	138	717	145
249	145	705	150
250	150	702	148
251	148	732	120
252	120	749	131
253	131	710	159
254	159	693	148
255	148	699	153
256	153	699	148
257	148	705	147
258	147	732	121
259	121	736	143
260	143	691	166
261	166	681	153
262	153	711	136
263	136	744	120
264	120	737	143
265	143	700	157
266	157	702	141
267	141	725	134
268	134	749	117
269	117	752	131
270	131	711	158
271	158	701	141
272	141	731	128
273	128	726	146
274	146	703	151
275	151	712	137
276	137	720	143
277	143	693	164
278	164	696	140
279	140	719	141
280	141	705	154
281	154	706	140
282	140	734	126
283	126	731	143
284	143	710	147
285	147	694	159
286	159	699	142
287	142	711	147
288	147	715	138
289	138	707	155
290	155	709	136
291	136	721	143
292	143	711	146
293	146	699	155
294	155	712	133
295	133	736	131
296	131	702	167
297	167	693	140
298	140	724	136
299	136	703	161
300	161	707	132
