Paso	Presa	Depredador	Hueco
0	500	199	301
1	326	499	175
2	175	405	420
3	420	228	352
4	368	441	191
5	191	440	369
6	369	258	373
7	379	396	225
8	228	441	331
9	331	292	377
10	381	380	239
11	240	456	304
12	304	315	381
13	382	353	265
14	267	432	301
15	301	332	367
16	370	357	273
17	274	432	294
18	294	323	383
19	384	349	267
20	269	432	299
21	299	331	370
22	372	345	283
23	285	429	286
24	286	342	372
25	372	344	284
26	289	407	304
27	304	358	338
28	339	352	309
29	311	388	301
30	303	365	332
31	334	358	308
32	311	393	296
33	296	372	332
34	332	349	319
35	319	390	291
36	293	373	334
37	334	337	329
38	332	378	290
39	290	398	312
40	315	344	341
41	341	373	286
42	287	391	322
43	324	341	335
44	337	372	291
45	291	390	319
46	319	365	316
47	319	374	307
48	308	378	314
49	315	351	334
50	336	355	309
51	310	391	299
52	299	373	328
53	330	358	312
54	312	390	298
55	298	364	338
56	339	351	310
57	310	395	295
58	295	371	334
59	336	355	309
60	309	394	297
61	297	361	342
62	343	345	312
63	314	395	291
64	291	358	351
65	352	337	311
66	312	398	290
67	290	366	344
68	344	340	316
69	319	383	298
70	299	384	317
71	318	348	334
72	334	361	305
73	305	382	313
74	314	356	330
75	331	352	317
76	318	392	290
77	290	371	339
78	343	342	315
79	317	394	289
80	290	382	328
81	329	339	332
82	332	369	299
83	299	402	299
84	299	358	343
85	343	348	309
86	311	389	300
87	301	360	339
88	340	364	296
89	297	389	314
90	314	348	338
91	340	362	298
92	300	393	307
93	309	358	333
94	334	365	301
95	302	394	304
96	305	350	345
97	346	369	285
98	285	401	314
99	315	335	350
100	351	364	285
101	287	399	314
102	314	342	344
103	346	372	282
104	283	397	320
105	320	341	339
106	340	378	282
107	282	403	315
108	315	329	356
109	360	369	271
110	273	408	319
111	322	330	348
112	349	372	279
113	281	392	327
114	328	337	335
115	338	378	284
116	285	393	322
117	322	341	337
118	337	381	282
119	284	395	321
120	321	347	332
121	334	365	301
122	303	386	311
123	311	360	329
124	331	382	287
125	287	388	325
126	327	345	328
127	328	382	290
128	293	378	329
129	332	347	321
130	323	381	296
131	297	386	317
132	317	356	327
133	328	378	294
134	294	385	321
135	321	364	315
136	315	373	312
137	314	380	306
138	308	367	325
139	326	349	325
140	326	376	298
141	300	372	328
142	329	347	324
143	326	364	310
144	311	380	309
145	310	368	322
146	323	359	318
147	318	371	311
148	315	350	335
149	336	364	300
150	303	387	310
151	312	356	332
152	334	364	302
153	304	387	309
154	310	361	329
155	330	359	311
156	312	376	312
157	313	370	317
158	321	375	304
159	305	379	316
160	318	348	334
161	336	362	302
162	304	397	299
163	300	358	342
164	346	355	299
165	300	390	310
166	310	363	327
167	328	358	314
168	315	389	296
169	298	363	339
170	339	344	317
171	320	382	298
172	298	382	320
173	320	346	334
174	336	373	291
175	292	395	313
176	314	355	331
177	333	360	307
178	309	383	308
179	308	365	327
180	329	365	306
181	307	390	303
182	303	362	335
183	336	349	315
184	319	396	285
185	288	380	332
186	333	335	332
187	336	372	292
188	292	389	319
189	321	340	339
190	340	374	286
191	286	397	317
192	318	347	335
193	335	369	296
194	298	394	308
195	311	357	332
196	333	370	297
197	298	389	313
198	313	364	323
199	326	357	317
200	317	383	300
201	303	367	330
202	332	355	313
203	313	391	296
204	296	372	332
205	333	340	327
206	329	378	293
207	294	377	329
208	331	353	316
209	316	376	308
210	310	366	324
211	325	366	309
212	309	377	314
213	315	372	313
214	314	371	315
215	316	370	314
216	315	371	314
217	315	376	309
218	311	365	324
219	325	363	312
220	313	373	314
221	317	367	316
222	316	380	304
223	305	357	338
224	338	370	292
225	293	393	314
226	317	355	328
227	329	366	305
228	308	375	317
229	317	365	318
230	318	363	319
231	320	357	323
232	327	371	302
233	304	391	305
234	306	360	334
235	334	368	298
236	299	387	314
237	314	342	344
238	348	368	284
239	286	402	312
240	313	357	330
241	333	366	301
242	302	379	319
243	319	362	319
244	320	379	301
245	302	377	321
246	322	362	316
247	318	376	306
248	308	386	306
249	306	366	328
250	328	355	317
251	319	376	305
252	305	377	318
253	322	354	324
254	326	369	305
255	305	382	313
256	313	360	327
257	329	371	300
258	300	386	314
259	315	362	323
260	327	363	310
261	311	392	297
262	297	365	338
263	340	343	317
264	319	389	292
265	292	378	330
266	332	346	322
267	325	384	291
268	291	390	319
269	321	362	317
270	319	386	295
271	295	361	344
272	344	343	313
273	315	379	306
274	306	384	310
275	311	352	337
276	341	364	295
277	296	399	305
278	305	345	350
279	351	359	290
280	292	406	302
281	302	348	350
282	351	364	285
283	286	405	309
284	309	349	342
285	345	354	301
286	301	391	308
287	308	372	320
288	321	358	321
289	321	376	303
290	304	370	326
291	326	368	306
292	307	374	319
293	319	361	320
294	321	374	305
295	306	382	312
296	314	352	334
297	336	368	296
298	297	398	305
299	306	346	348
300	349	358	293
