Paso	Presa	Depredador	Hueco
0	1026	3964	5010
1	1422	3597	4981
2	1771	3415	4814
3	2064	3352	4584
4	2298	3379	4323
5	2460	3469	4071
6	2547	3647	3806
7	2537	3789	3674
8	2466	3935	3599
9	2346	3956	3698
10	2255	3990	3755
11	2123	4037	3840
12	2085	3986	3929
13	2039	4000	3961
14	2036	3938	4026
15	2035	3875	4090
16	2076	3824	4100
17	2044	3805	4151
18	2079	3780	4141
19	2134	3755	4111
20	2227	3724	4049
21	2275	3780	3945
22	2244	3812	3944
23	2257	3797	3946
24	2223	3858	3919
25	2252	3817	3931
26	2288	3816	3896
27	2313	3887	3800
28	2276	3975	3749
29	2227	4027	3746
30	2189	3965	3846
31	2174	3963	3863
32	2171	3927	3902
33	2136	3905	3959
34	2210	3841	3949
35	2208	3880	3912
36	2222	3853	3925
37	2204	3854	3942
38	2195	3870	3935
39	2192	3874	3934
40	2191	3914	3895
41	2159	3908	3933
42	2178	3901	3921
43	2192	3890	3918
44	2214	3886	3900
45	2194	3860	3946
46	2192	3834	3974
47	2175	3921	3904
48	2157	3881	3962
49	2140	3928	3932
50	2116	3884	4000
51	2099	3895	4006
52	2088	3897	4015
53	2138	3839	4023
54	2211	3794	3995
55	2182	3827	3991
56	2176	3816	4008
57	2249	3806	3945
58	2229	3863	3908
59	2197	3902	3901
60	2160	3939	3901
61	2140	3925	3935
62	2134	3890	3976
63	2082	3905	4013
64	2141	3844	4015
65	2144	3860	3996
66	2188	3849	3963
67	2116	3926	3958
68	2135	3878	3987
69	2112	3849	4039
70	2150	3812	4038
71	2175	3816	4009
72	2241	3788	3971
73	2284	3806	3910
74	2315	3838	3847
75	2267	3854	3879
76	2235	3904	3861
77	2161	3941	3898
78	2147	3882	3971
79	2122	3874	4004
80	2174	3903	3923
81	2161	3887	3952
82	2174	3890	3936
83	2219	3925	3856
84	2156	3944	3900
85	2175	3897	3928
86	2125	3905	3970
87	2098	3839	4063
88	2087	3896	4017
89	2114	3823	4063
90	2122	3764	4114
91	2128	3774	4098
92	2166	3803	4031
93	2181	3793	4026
94	2170	3867	3963
95	2148	3871	3981
96	2163	3901	3936
97	2155	3894	3951
98	2176	3880	3944
99	2138	3862	4000
100	2037	3920	4043
101	2015	3885	4100
102	2056	3785	4159
103	2140	3712	4148
104	2205	3705	4090
105	2238	3734	4028
106	2265	3807	3928
107	2237	3880	3883
108	2216	3932	3852
109	2155	3922	3923
110	2117	3949	3934
111	2086	3974	3940
112	2111	3942	3947
113	2165	3879	3956
114	2128	3866	4006
115	2118	3868	4014
116	2165	3854	3981
117	2159	3866	3975
118	2074	3936	3990
119	2053	3873	4074
120	2098	3804	4098
121	2193	3784	4023
122	2234	3774	3992
123	2270	3801	3929
124	2298	3858	3844
125	2299	3885	3816
126	2262	3909	3829
127	2168	3991	3841
128	2101	4036	3863
129	2057	4018	3925
130	2034	4022	3944
131	2041	3966	3993
132	2105	3881	4014
133	2133	3873	3994
134	2152	3863	3985
135	2143	3904	3953
136	2112	3889	3999
137	2160	3886	3954
138	2189	3831	3980
139	2170	3791	4039
140	2162	3861	3977
141	2070	3929	4001
142	2035	3884	4081
143	2016	3832	4152
144	2046	3780	4174
145	2128	3718	4154
146	2161	3719	4120
147	2245	3695	4060
148	2244	3732	4024
149	2274	3763	3963
150	2286	3849	3865
151	2254	3897	3849
152	2197	3960	3843
153	2175	3963	3862
154	2160	3934	3906
155	2120	3933	3947
156	2134	3869	3997
157	2174	3880	3946
158	2212	3848	3940
159	2247	3814	3939
160	2252	3799	3949
161	2223	3871	3906
162	2163	3897	3940
163	2141	3835	4024
164	2177	3895	3928
165	2181	3844	3975
166	2182	3832	3986
167	2135	3878	3987
168	2127	3846	4027
169	2190	3848	3962
170	2232	3869	3899
171	2244	3875	3881
172	2224	3894	3882
173	2227	3921	3852
174	2134	3964	3902
175	2113	3947	3940
176	2106	3888	4006
177	2154	3869	3977
178	2136	3854	4010
179	2117	3801	4082
180	2161	3730	4109
181	2284	3674	4042
182	2329	3709	3962
183	2342	3808	3850
184	2362	3872	3766
185	2325	3920	3755
186	2311	3943	3746
187	2253	3968	3779
188	2237	3970	3793
189	2160	3942	3898
190	2111	3903	3986
191	2119	3871	4010
192	2156	3813	4031
193	2218	3809	3973
194	2226	3806	3968
195	2198	3838	3964
196	2164	3862	3974
197	2216	3816	3968
198	2254	3835	3911
199	2220	3926	3854
200	2172	3981	3847
201	2086	3984	3930
202	2057	3974	3969
203	2047	3907	4046
204	2072	3858	4070
205	2066	3801	4133
206	2139	3774	4087
207	2185	3779	4036
208	2256	3803	3941
209	2277	3794	3929
210	2280	3797	3923
211	2283	3805	3912
212	2299	3795	3906
213	2272	3902	3826
214	2198	3990	3812
215	2119	3978	3903
216	2089	3971	3940
217	2047	3927	4026
218	2077	3855	4068
219	2098	3812	4090
220	2172	3728	4100
221	2229	3704	4067
222	2236	3728	4036
223	2243	3758	3999
224	2275	3789	3936
225	2224	3876	3900
226	2214	3885	3901
227	2218	3856	3926
228	2245	3814	3941
229	2252	3884	3864
230	2226	3892	3882
231	2205	3983	3812
232	2166	3988	3846
233	2114	3969	3917
234	2110	3941	3949
235	2073	3946	3981
236	2034	3913	4053
237	2062	3843	4095
238	2140	3790	4070
239	2190	3749	4061
240	2307	3737	3956
241	2288	3799	3913
242	2255	3865	3880
243	2276	3844	3880
244	2267	3939	3794
245	2216	3978	3806
246	2150	4023	3827
247	2136	4020	3844
248	2056	3996	3948
249	2038	3937	4025
250	2097	3852	4051
251	2092	3848	4060
252	2103	3809	4088
253	2133	3851	4016
254	2139	3830	4031
255	2120	3862	4018
256	2142	3887	3971
257	2076	3885	4039
258	2052	3869	4079
259	2077	3803	4120
260	2097	3785	4118
261	2181	3770	4049
262	2230	3803	3967
263	2265	3805	3930
264	2221	3870	3909
265	2219	3924	3857
266	2183	3949	3868
267	2211	3986	3803
268	2201	4001	3798
269	2165	3982	3853
270	2148	3937	3915
271	2125	3951	3924
272	2064	3946	3990
273	2036	3957	4007
274	2073	3850	4077
275	2148	3790	4062
276	2191	3800	4009
277	2176	3801	4023
278	2250	3767	3983
279	2252	3818	3930
280	2266	3852	3882
281	2270	3827	3903
282	2288	3843	3869
283	2207	3890	3903
284	2206	3907	3887
285	2150	3950	3900
286	2142	3891	3967
287	2184	3896	3920
288	2178	3865	3957
289	2193	3844	3963
290	2186	3911	3903
291	2110	3938	3952
292	2103	3938	3959
293	2065	3921	4014
294	2045	3895	4060
295	2024	3866	4110
296	2068	3827	4105
297	2097	3824	4079
298	2122	3825	4053
299	2141	3849	4010
300	2139	3813	4048
301	2111	3854	4035
302	2130	3847	4023
303	2176	3833	3991
304	2178	3867	3955
305	2124	3882	3994
306	2176	3894	3930
307	2174	3891	3935
308	2098	3928	3974
309	2044	3940	4016
310	2029	3864	4107
311	2086	3767	4147
312	2126	3750	4124
313	2227	3746	4027
314	2287	3812	3901
315	2242	3889	3869
316	2251	3908	3841
317	2192	3877	3931
318	2160	3903	3937
319	2190	3876	3934
320	2191	3884	3925
321	2150	3895	3955
322	2083	3896	4021
323	2128	3847	4025
324	2118	3824	4058
325	2157	3817	4026
326	2221	3836	3943
327	2272	3832	3896
328	2319	3800	3881
329	2252	3842	3906
330	2246	3849	3905
331	2200	3925	3875
332	2189	3892	3919
333	2170	3969	3861
334	2111	3907	3982
335	2147	3902	3951
336	2136	3879	3985
337	2154	3856	3990
338	2136	3869	3995
339	2120	3810	4070
340	2147	3823	4030
341	2144	3811	4045
342	2136	3746	4118
343	2126	3754	4120
344	2200	3734	4066
345	2204	3788	4008
346	2220	3799	3981
347	2240	3809	3951
348	2278	3833	3889
349	2231	3877	3892
350	2164	3921	3915
351	2097	3913	3990
352	2125	3871	4004
